,Waktu,Pipi
0,20:06.4,1.0
1,20:07.0,0.9820292892649466
2,20:07.0,0.9640739636310174
3,20:07.0,0.946142665757573
4,20:07.0,0.9282439911813309
5,20:07.0,0.9103864735093764
6,20:07.0,0.8925785698684087
7,20:07.0,0.8748286467499015
8,20:07.0,0.8571449663928109
9,20:07.0,0.8395356738279924
10,20:07.0,0.8220087846725045
11,20:07.0,0.8045721737045219
12,20:07.0,0.7872335641922261
13,20:07.0,0.7700005179325055
14,20:07.0,0.752880425983655
15,20:07.0,0.7358805001095465
16,20:07.0,0.7190077649498542
17,20:07.0,0.7022690508940411
18,20:07.0,0.6856709876037831
19,20:07.0,0.6692199981364141
20,20:07.0,0.652922293684481
21,20:07.1,0.636783869030433
22,20:07.1,0.6208104988253476
23,20:07.1,0.6050077346760192
24,20:07.1,0.5893809028758018
25,20:07.1,0.5739351026059959
26,20:07.1,0.5586752045292801
27,20:07.1,0.5436058497172375
28,20:07.1,0.5287314487685176
29,20:07.1,0.514056180925658
30,20:07.1,0.4995839930883421
31,20:07.1,0.4853185987916112
32,20:07.1,0.4712634773337151
33,20:07.1,0.45742187322578987
34,20:07.1,0.44379679604705347
35,20:07.1,0.4303910207241844
36,20:07.1,0.4172070882303294
37,20:07.1,0.4042473066838313
38,20:07.1,0.39151375283863576
39,20:07.1,0.379008274027775
40,20:07.1,0.36673249068385916
41,20:07.2,0.3546877995042237
42,20:07.2,0.3428753771649247
43,20:07.2,0.33129618438857583
44,20:07.2,0.31995097022974595
45,20:07.2,0.3088402765217126
46,20:07.2,0.29796444239450465
47,20:07.2,0.2873236087003582
48,20:07.2,0.2769177222063024
49,20:07.2,0.26674653954632777
50,20:07.2,0.256809631071021
51,20:07.2,0.24710638478731756
52,20:07.2,0.23763601052084918
53,20:07.2,0.22839754433813064
54,20:07.2,0.21938985321628432
55,20:07.2,0.21061163993367157
56,20:07.2,0.20206144815112698
57,20:07.2,0.19373766769067194
58,20:07.2,0.18563854009685024
59,20:07.2,0.17776216459132368
60,20:07.2,0.17010650442539316
61,20:07.3,0.16266939348813936
62,20:07.3,0.15544854300874986
63,20:07.3,0.1484415482792925
64,20:07.3,0.14164589534311942
65,20:07.3,0.13505896750746843
66,20:07.3,0.12867805149227307
67,20:07.3,0.12250034311899272
68,20:07.3,0.11652295261109932
69,20:07.3,0.11074290968909098
70,20:07.3,0.10515716863046905
71,20:07.3,0.099762613381498
72,20:07.3,0.0945560627453516
73,20:07.3,0.08953427564425707
74,20:07.3,0.08469395642797162
75,20:07.3,0.08003176020315479
76,20:07.3,0.0755442982236413
77,20:07.3,0.07122814344993024
78,20:07.3,0.0670798363484985
79,20:07.3,0.06309589086031221
80,20:07.3,0.059272800374600865
81,20:07.4,0.05560704358988551
82,20:07.4,0.05209509021460589
83,20:07.4,0.04873340642372211
84,20:07.4,0.04551845990509279
85,20:07.4,0.042446724344121146
86,20:07.4,0.03951468333657869
87,20:07.4,0.03671883387856826
88,20:07.4,0.034055689637216106
89,20:07.4,0.0315217841415062
90,20:07.4,0.029113673938369035
91,20:07.4,0.026827941707505566
92,20:07.4,0.02466119931014026
93,20:07.4,0.02261009074497331
94,20:07.4,0.02067129502867905
95,20:07.4,0.018841529101107236
96,20:07.4,0.017117550877054365
97,20:07.4,0.015496162450431573
98,20:07.4,0.013974213304922382
99,20:07.5,0.012548603367688843
100,20:07.5,0.011216285839292206
101,20:07.5,0.009974269771082397
102,20:07.5,0.008819622293186918
103,20:07.5,0.007749470346639713
104,20:07.5,0.006761001840481297
105,20:07.5,0.005851466299012948
106,20:07.5,0.005018175173533022
107,20:07.5,0.004258501993955908
108,20:07.5,0.003569882458874587
109,20:07.5,0.00294981449340956
