,Waktu,Pipi
0,27:51.8,0.16993122644662706
1,27:52.3,0.1722016148229157
2,27:52.3,0.1744953660887259
3,27:52.3,0.17681181273417199
4,27:52.3,0.1791502685811193
5,27:52.3,0.18151002919621173
6,27:52.3,0.18389037227399727
7,27:52.3,0.18629055798322627
8,27:52.3,0.18870982928220387
9,27:52.3,0.1911474122185554
10,27:52.3,0.1936025162287825
11,27:52.3,0.19607433444244501
12,27:52.3,0.19856204398273794
13,27:52.3,0.20106480624942252
14,27:52.3,0.20358176717229967
15,27:52.4,0.20611205742844785
16,27:52.4,0.20865479262090422
17,27:52.4,0.21120907341953526
18,27:52.4,0.21377398566681102
19,27:52.4,0.21634860045482304
20,27:52.4,0.21893197418740148
21,27:52.4,0.2215231486478786
22,27:52.4,0.22412115109192837
23,27:52.4,0.22672499437826127
24,27:52.4,0.22933367714495248
25,27:52.4,0.2319461840375116
26,27:52.4,0.23456148599620308
27,27:52.4,0.23717854061597832
28,27:52.4,0.23979629259904348
29,27:52.4,0.24241367431731703
30,27:52.4,0.24502960648479521
31,27:52.4,0.24764299892148323
32,27:52.4,0.25025275138943986
33,27:52.4,0.2528577544920477
34,27:52.4,0.2554568906292951
35,27:52.4,0.25804903499294285
36,27:52.4,0.2606330565812746
37,27:52.4,0.2632078192209214
38,27:52.4,0.26577218259712937
39,27:52.4,0.2683250033027521
40,27:52.4,0.2708651359120541
41,27:52.4,0.2733914340734463
42,27:52.4,0.2759027516080435
43,27:52.5,0.2783979435989548
44,27:52.5,0.2808758674531692
45,27:52.5,0.2833353839181409
46,27:52.5,0.2857753580460266
47,27:52.5,0.2881946601129565
48,27:52.5,0.29059216650405195
49,27:52.5,0.29296676056625687
50,27:52.5,0.29531733342768335
51,27:52.5,0.29764278479302825
52,27:52.5,0.29994202373234297
53,27:52.5,0.30221396946569806
54,27:52.5,0.304457552118175
55,27:52.5,0.30667171340790295
56,27:52.5,0.3088554072476405
57,27:52.5,0.3110076002681668
58,27:52.5,0.3131272722848092
59,27:52.5,0.31521341672449227
60,27:52.5,0.3172650410212307
61,27:52.5,0.31928116697903436
62,27:52.5,0.32126083109672393
63,27:52.5,0.3232030848552441
64,27:52.5,0.3251069949830386
65,27:52.5,0.3269716437280797
66,27:52.5,0.32879612916484935
67,27:52.5,0.33057956554698886
68,27:52.6,0.3323210836949085
69,27:52.6,0.33401983140146896
70,27:52.6,0.33567497384466527
71,27:52.6,0.3372856939956353
72,27:52.6,0.3388511930033274
73,27:52.6,0.3403706905407289
74,27:52.6,0.34184342511560656
75,27:52.6,0.34326865436504395
76,27:52.6,0.34464565535332964
77,27:52.6,0.3459737248793258
78,27:52.6,0.34725217978635686
79,27:52.6,0.3484803572653697
80,27:52.6,0.3496576151484646
81,27:52.6,0.3507833321965395
82,27:52.6,0.351856908389457
83,27:52.6,0.35287776523125797
84,27:52.6,0.3538453460829181
85,27:52.6,0.35475911652617154
86,27:52.6,0.35561856474938397
87,27:52.6,0.3564232019430483
88,27:52.6,0.35717256269966297
89,27:52.6,0.3578662054171573
90,27:52.6,0.3585037126999565
91,27:52.6,0.3590846917453433
92,27:52.6,0.35960877470409724
93,27:52.6,0.36007561901435914
94,27:52.6,0.36048490771790254
95,27:52.7,0.3608363497679299
96,27:52.7,0.36112968032773485
97,27:52.7,0.3613646610520044
98,27:52.7,0.36154108034525456
99,27:52.7,0.36165875360213645
100,27:52.7,0.361717523444849
101,27:52.7,0.36171725997702125
102,27:52.7,0.36165786106669023
103,27:52.7,0.3615392526528594
104,27:52.7,0.36136138904673704
105,27:52.7,0.3611242531853078
106,27:52.7,0.36082785680348467
107,27:52.7,0.36047224051132276
108,27:52.7,0.3600574737738376
109,27:52.7,0.35958365479064114
110,27:52.7,0.3590509102750513
111,27:52.7,0.35845939514257874
112,27:52.7,0.3578092921275036
113,27:52.7,0.35710081134595206
114,27:52.7,0.35633418981491216
115,27:52.7,0.3555096909246203
116,27:52.7,0.3546276038550073
117,27:52.7,0.3536882429313034
118,27:52.7,0.35269194692691025
119,27:52.7,0.3516390783354859
120,27:52.7,0.35053002264221583
121,27:52.8,0.34936518762222896
122,27:52.8,0.34814500268127274
123,27:52.8,0.3468699182378623
124,27:52.8,0.34554040513994655
125,27:52.8,0.34415695411296526
126,27:52.8,0.34272007523612763
127,27:52.8,0.3412302974339537
128,27:52.8,0.3396881679622851
129,27:52.8,0.33809425187458336
130,27:52.8,0.33644913147293315
131,27:52.8,0.33475340576450424
132,27:52.8,0.3330076899464211
133,27:52.8,0.3312126149310799
134,27:52.8,0.32936882691222635
135,27:52.8,0.3274769869667823
136,27:52.8,0.3255377706848524
137,27:52.8,0.323551867819747
138,27:52.8,0.32151998195647574
139,27:52.8,0.31944283020963826
140,27:52.8,0.3173211429663213
141,27:52.8,0.3151556636759498
142,27:52.8,0.31294714866951023
143,27:52.8,0.31069636698637165
144,27:52.8,0.308404100195492
145,27:52.8,0.30607114220082127
146,27:52.8,0.30369829901456186
147,27:52.9,0.3012863884791099
148,27:52.9,0.29883623992820924
149,27:52.9,0.29634869379587886
150,27:52.9,0.29382460119471127
151,27:52.9,0.29126482348371446
152,27:52.9,0.2886702318355328
153,27:52.9,0.28604170680646185
154,27:52.9,0.2833801379137593
155,27:52.9,0.28068642322941856
156,27:52.9,0.277961469005132
157,27:52.9,0.275206189345345
158,27:52.9,0.27242150593916187
159,27:52.9,0.26960834784903315
160,27:52.9,0.2667676513441283
161,27:52.9,0.26390035976792464
162,27:52.9,0.261007423438696
163,27:52.9,0.2580897995823984
164,27:52.9,0.2551484522846258
165,27:52.9,0.2521843524363312
166,27:52.9,0.24919847765131364
167,27:52.9,0.2461918121512572
168,27:52.9,0.24316534663355144
169,27:52.9,0.24012007814264863
170,27:52.9,0.23705700995375628
171,27:52.9,0.23397715146371886
172,27:52.9,0.2308815180831149
173,27:53.0,0.22777113113078432
174,27:53.0,0.2246470177358938
175,27:53.0,0.22151021075401744
176,27:53.0,0.21836174870647798
177,27:53.0,0.21520267574884108
178,27:53.0,0.21203404165637216
179,27:53.0,0.20885690179228095
180,27:53.0,0.20567231702067662
181,27:53.0,0.20248135354144392
182,27:53.0,0.19928508263702907
183,27:53.0,0.1960845803205707
184,27:53.0,0.1928809268739579
185,27:53.0,0.1896752062755291
186,27:53.0,0.1864685055326804
187,27:53.0,0.1832619139388398
188,27:53.0,0.18005652226394445
189,27:53.0,0.1768534218767434
190,27:53.0,0.17365370379721942
191,27:53.0,0.17045845768356457
192,27:53.0,0.1672687707636969
193,27:53.0,0.16408572672743163
194,27:53.0,0.16091040460014228
195,27:53.0,0.15774387761543263
196,27:53.1,0.1545872120923739
197,27:53.1,0.1514414663100811
198,27:53.1,0.14830768936796854
199,27:53.1,0.14518692002613937
200,27:53.1,0.142080185529286
201,27:53.1,0.13898850042109492
202,27:53.1,0.1359128653572825
203,27:53.1,0.13285426593067698
204,27:53.1,0.12981367152873352
205,27:53.1,0.12679203424583396
206,27:53.1,0.12379028786939801
207,27:53.1,0.12080934695356214
208,27:53.1,0.11785010598893217
209,27:53.1,0.11491343867218644
210,27:53.1,0.11200019727628129
211,27:53.1,0.10911121212342358
212,27:53.1,0.1062472911688274
213,27:53.1,0.10340921970830408
214,27:53.1,0.10059776021969834
215,27:53.1,0.09781365233458739
216,27:53.1,0.0950576129227683
217,27:53.1,0.09233033627070701
218,27:53.1,0.08963249434208956
219,27:53.1,0.08696473711171311
220,27:53.1,0.08432769296202404
221,27:53.1,0.08172196913219944
222,27:53.1,0.07914815221776941
223,27:53.1,0.07660680873102871
224,27:53.1,0.07409848573920139
225,27:53.1,0.0716237115915141
226,27:53.2,0.06918299673216556
227,27:53.2,0.06677683458622562
228,27:53.2,0.06440570250578832
229,27:53.2,0.0620700627698594
230,27:53.2,0.059770363640394446
231,27:53.2,0.05750704048750044
232,27:53.2,0.05528051699991054
233,27:53.2,0.05309120648157381
234,27:53.2,0.05093951320994612
235,27:53.2,0.04882583382157265
236,27:53.2,0.046750558702002856
237,27:53.2,0.04471407336629551
238,27:53.2,0.0427167598102715
239,27:53.2,0.04075899780800398
240,27:53.2,0.038841166141900474
241,27:53.2,0.03696364377013952
242,27:53.2,0.03512681094931013
243,27:53.2,0.03333105033183249
244,27:53.2,0.031576748046362346
245,27:53.2,0.029864294753571986
246,27:53.2,0.028194086664456608
247,27:53.2,0.02656652651586653
248,27:53.2,0.02498202450801155
249,27:53.2,0.02344099921512684
250,27:53.2,0.021943878482471375
251,27:53.2,0.02049110031647504
252,27:53.2,0.01908311375877338
253,27:53.3,0.017720379721548177
254,27:53.3,0.016403371764424916
255,27:53.3,0.015132576802122665
256,27:53.3,0.013908495728192397
257,27:53.3,0.012731643929388317
258,27:53.3,0.011602551668866088
259,27:53.3,0.010521764337312832
260,27:53.3,0.009489842592292123
261,27:53.3,0.008507362414744963
262,27:53.3,0.007574915107477301
263,27:53.3,0.006693107249653406
264,27:53.3,0.005862560611358651
265,27:53.3,0.005083912027053199
266,27:53.3,0.00435781322624212
267,27:53.3,0.0036849306241718118
268,27:53.3,0.003065945083484999
269,27:53.3,0.0025015516631054432
270,27:53.3,0.0019924593651011323
271,27:53.3,0.0015393908739251537
272,27:53.3,0.001143082269140491
273,27:53.3,0.0008042826941801074
274,27:53.3,0.0005237539704072477
275,27:53.3,0.00030227014387134403
276,27:53.3,0.00014061694885281596
277,27:53.3,3.95911820916664e-05
278,27:53.3,0.0
279,27:53.3,2.2660162343298486e-05
280,27:53.3,0.00010839724314379486
281,27:53.3,0.0002580448185123661
282,27:53.3,0.0004724436322551071
283,27:53.4,0.000752440739063687
284,27:53.4,0.0010988886279389397
285,27:53.4,0.0015126443291119103
286,27:53.4,0.001994568503616196
287,27:53.4,0.002545524508345752
288,27:53.4,0.0031663774247508328
289,27:53.4,0.003857993034958237
290,27:53.4,0.004621236726099177
291,27:53.4,0.005456972309260416
292,27:53.4,0.00636606074899719
293,27:53.4,0.007349358797470583
294,27:53.4,0.008407717515098615
295,27:53.4,0.009541980656911453
296,27:53.4,0.010752982920826918
297,27:53.4,0.012041548077494203
298,27:53.4,0.013408487011723317
299,27:53.4,0.01485459569779652
300,27:53.4,0.016380653115745575
301,27:53.4,0.017987419107124945
302,27:53.4,0.019675632171117063
303,27:53.4,0.02144600720800357
304,27:53.4,0.0232992332221101
305,27:53.4,0.025235971001983045
306,27:53.4,0.027256850800081455
307,27:53.4,0.029362470030166267
308,27:53.4,0.03155339098786942
309,27:53.4,0.03383013859083034
310,27:53.4,0.0361931981359698
311,27:53.5,0.038643013072951794
312,27:53.5,0.041179982785735224
313,27:53.5,0.04380446036752146
314,27:53.5,0.046516750381453836
315,27:53.5,0.04931710661644734
316,27:53.5,0.05220572986070521
317,27:53.5,0.05518276571777718
318,27:53.5,0.05824830248397998
319,27:53.5,0.0614023690969098
320,27:53.5,0.06464493315541102
321,27:53.5,0.06797589900338062
322,27:53.5,0.07139510586876188
323,27:53.5,0.0749023260591785
324,27:53.5,0.07849726323048484
325,27:53.5,0.08217955075070496
326,27:53.5,0.08594875017246868
327,27:53.5,0.08980434981128753
328,27:53.5,0.09374576341985613
329,27:53.5,0.09777232894977722
330,27:53.5,0.10188330739023008
331,27:53.5,0.10607788166818644
332,27:53.5,0.110355155597919
333,27:53.5,0.11471415288124956
334,27:53.5,0.11915381617453379
335,27:53.5,0.12367300624512459
336,27:53.5,0.12827050123735229
337,27:53.5,0.13294499605953303
338,27:53.6,0.13769510189522785
339,27:53.6,0.14251934583678685
340,27:53.6,0.14741617063787996
341,27:53.6,0.1523839345881953
342,27:53.6,0.157420911527457
343,27:53.6,0.16252529102516247
344,27:53.6,0.16769517874333176
345,27:53.6,0.17292859697682011
346,27:53.6,0.1782234853513547
347,27:53.6,0.18357770166479973
348,27:53.6,0.18898902286917404
349,27:53.6,0.19445514619406692
350,27:53.6,0.19997369040880475
351,27:53.6,0.2055421972227425
352,27:53.6,0.21115813283309975
353,27:53.6,0.21681888963816653
354,27:53.6,0.2225217881298502
355,27:53.6,0.22826407896596143
356,27:53.6,0.23404294521349522
357,27:53.6,0.23985550475810494
358,27:53.6,0.24569881288640158
359,27:53.6,0.2515698650577569
360,27:53.6,0.2574655998887223
361,27:53.6,0.2633829023759784
362,27:53.6,0.26931860737708846
363,27:53.6,0.2752695033474948
364,27:53.6,0.2812323363094096
365,27:53.6,0.2872038140221619
366,27:53.6,0.2931806103324661
367,27:53.7,0.2991593696931047
368,27:53.7,0.30513671184603225
369,27:53.7,0.31110923667064305
370,27:53.7,0.3170735291962784
371,27:53.7,0.32302616477164176
372,27:53.7,0.32896371437407795
373,27:53.7,0.33488275002744405
