,Waktu,Pipi
0,25:34.9,0.20319286115345386
1,25:35.4,0.198890765106719
2,25:35.4,0.1945810270447066
3,25:35.4,0.1902659396245341
4,25:35.4,0.18594782106998972
5,25:35.4,0.18162901272250676
6,25:35.4,0.17731187654370392
7,25:35.4,0.172998792578014
8,25:35.4,0.16869215638026938
9,25:35.4,0.1643943764089079
10,25:35.4,0.16010787138410368
11,25:35.5,0.15583506761186577
12,25:35.5,0.1515783962772774
13,25:35.5,0.1473402907117782
14,25:35.5,0.14312318364133522
15,25:35.5,0.13892950442196905
16,25:35.5,0.134761676264521
17,25:35.5,0.13062211344575134
18,25:35.5,0.12651321850385724
19,25:35.5,0.12243737942381372
20,25:35.5,0.11839696682622698
21,25:35.5,0.11439433117707296
22,25:35.5,0.11043180003265136
23,25:35.5,0.10651167532451149
24,25:35.5,0.10263623067646983
25,25:35.5,0.09880770873877212
26,25:35.5,0.0950283185296706
27,25:35.5,0.09130023278645331
28,25:35.5,0.08762558533223679
29,25:35.5,0.08400646845642414
30,25:35.5,0.08044493029582865
31,25:35.5,0.07694297220275287
32,25:35.5,0.07350254609654118
33,25:35.5,0.07012555180632647
34,25:35.5,0.06681383441754227
35,25:35.6,0.06356918163637348
36,25:35.6,0.06039332118926196
37,25:35.6,0.0572879182765644
38,25:35.6,0.054254573098757385
39,25:35.6,0.051294818473835546
40,25:35.6,0.048410117564824696
41,25:35.6,0.04560186172754938
42,25:35.6,0.04287136846851188
43,25:35.6,0.040219879485708855
44,25:35.6,0.03764855876779359
45,25:35.6,0.03515849074454137
46,25:35.6,0.03275067849643336
47,25:35.6,0.03042604203645236
48,25:35.6,0.028185416678213407
49,25:35.6,0.026029551505785148
50,25:35.6,0.02395910796160093
51,25:35.6,0.02197465856643767
52,25:35.6,0.02007668577649904
53,25:35.6,0.018265580971576628
54,25:35.6,0.016541643565081143
55,25:35.6,0.014905080233353681
56,25:35.6,0.013356004269037184
57,25:35.6,0.01189443506339238
58,25:35.6,0.010520297717124878
59,25:35.6,0.009233422776326237
60,25:35.6,0.008033546092879134
61,25:35.7,0.006920308815119113
62,25:35.7,0.005893257521916284
63,25:35.7,0.004951844519581013
64,25:35.7,0.004095428323188884
65,25:35.7,0.00332327434092148
66,25:35.7,0.0026345557768537695
67,25:35.7,0.002028354770376731
68,25:35.7,0.0015036637964811635
69,25:35.7,0.001059387352556593
70,25:35.7,0.0006943439518700368
71,25:35.7,0.00040726843493361773
72,25:35.7,0.0001968146017891501
73,25:35.7,6.155816274644782e-05
74,25:35.7,0.0
75,25:35.7,1.0569726279574641e-05
76,25:35.7,9.162952388814756e-05
77,25:35.7,0.00024147825100087527
78,25:35.7,0.0004583558062061742
79,25:35.7,0.0007404477408035007
80,25:35.7,0.0010858901022896934
81,25:35.7,0.001492774487531986
82,25:35.7,0.0019591532836194196
83,25:35.7,0.0024830450730904618
84,25:35.7,0.0030624401749303667
85,25:35.7,0.0036953062925825105
86,25:35.8,0.004379594250078542
87,25:35.8,0.005113243804352548
88,25:35.8,0.005894189513414294
89,25:35.8,0.006720366623197129
90,25:35.8,0.007589716929790522
91,25:35.8,0.008500194585737978
92,25:35.8,0.009449771835051256
93,25:35.8,0.010436444667210354
94,25:35.8,0.01145823837931586
95,25:35.8,0.012513213037686738
96,25:35.8,0.013599468833329412
97,25:35.8,0.014715151318238659
98,25:35.8,0.015858456490884847
99,25:35.8,0.017027635684868717
100,25:35.8,0.018221000210722857
101,25:35.8,0.019436925695678692
102,25:35.8,0.020673856060284972
103,25:35.8,0.02193030708096267
104,25:35.8,0.023204869514513674
105,25:35.8,0.024496211783842255
106,25:35.8,0.025803082231860553
107,25:35.8,0.0271243109503739
108,25:35.8,0.028458811193448414
109,25:35.8,0.02980558039226999
110,25:35.8,0.03116370079792305
111,25:35.8,0.03253233978545024
112,25:35.8,0.033910749851037536
113,25:35.8,0.035298268324943004
114,25:35.8,0.0366943168172426
115,25:35.9,0.03809840041769005
116,25:35.9,0.03951010667638256
117,25:35.9,0.040929104390399436
118,25:35.9,0.042355142216962065
119,25:35.9,0.04378804713157369
120,25:35.9,0.04522772274652734
121,25:35.9,0.046674147495187814
122,25:35.9,0.048127372675932
123,25:35.9,0.04958752034829202
124,25:35.9,0.05105478108116792
125,25:35.9,0.05252941155660795
126,25:35.9,0.05401173203056968
127,25:35.9,0.0555021236522616
128,25:35.9,0.057001025649056146
129,25:35.9,0.058508932390882826
130,25:35.9,0.06002639035263378
131,25:35.9,0.06155399499427465
132,25:35.9,0.06309238757873457
133,25:35.9,0.0646422519495994
134,25:35.9,0.06620431129178075
135,25:35.9,0.06777932489507418
136,25:35.9,0.06936808493151879
137,25:35.9,0.07097141324440735
138,25:35.9,0.07259015813586762
139,25:35.9,0.0742251911387877
140,25:35.9,0.07587740376809754
141,25:35.9,0.07754770425873342
142,25:35.9,0.07923701430779184
143,25:36.0,0.08094626584610114
144,25:36.0,0.08267639786712254
145,25:36.0,0.08442835333517269
146,25:36.0,0.086203076182489
147,25:36.0,0.0880015083921925
148,25:36.0,0.08982458715845869
149,25:36.0,0.09167324212080225
150,25:36.0,0.09354839268304477
151,25:36.0,0.09545094543792466
152,25:36.0,0.09738179171719095
153,25:36.0,0.09934180527800421
154,25:36.0,0.10133184013036169
155,25:36.0,0.10335272851067229
156,25:36.0,0.10540527900662608
157,25:36.0,0.10749027483374282
158,25:36.0,0.10960847225881601
159,25:36.0,0.1117605991656994
160,25:36.0,0.11394735376313753
161,25:36.0,0.11616940343129553
162,25:36.0,0.11842738368313273
163,25:36.0,0.1207218971887433
164,25:36.0,0.12305351280007013
165,25:36.0,0.1254227645274509
166,25:36.0,0.12783015044062943
167,25:36.0,0.13027613148206005
168,25:36.0,0.13276113019306207
169,25:36.0,0.13528552936627844
170,25:36.1,0.13784967064734394
171,25:36.1,0.1404538531100533
172,25:36.1,0.1430983318210943
173,25:36.1,0.14578331640084935
174,25:36.1,0.14850896958583937
175,25:36.1,0.1512754058028471
176,25:36.1,0.15408268976844539
177,25:36.1,0.15693083513364625
178,25:36.1,0.1598198032018777
179,25:36.1,0.16274950175026903
180,25:36.1,0.16571978397407497
181,25:36.1,0.16873044755990332
182,25:36.1,0.17178123388614125
183,25:36.1,0.17487182735075274
184,25:36.1,0.17800185483452535
185,25:36.1,0.1811708853188352
186,25:36.1,0.1843784296851121
187,25:36.1,0.18762394072301797
188,25:36.1,0.19090681336633453
189,25:36.1,0.19422638516367668
190,25:36.1,0.197581936979277
191,25:36.1,0.2009726939099069
192,25:36.1,0.20439782640037352
193,25:36.1,0.20785645154258262
194,25:36.1,0.21134763454739536
195,25:36.1,0.2148703903831677
196,25:36.2,0.21842368558544173
197,25:36.2,0.2220064402588334
198,25:36.2,0.22561753030426257
199,25:36.2,0.22925578990568435
200,25:36.2,0.23292001430512083
201,25:36.2,0.2366089628879038
202,25:36.2,0.24032136258835782
203,25:36.2,0.24405591161041001
204,25:36.2,0.2478112834484302
205,25:36.2,0.2515861311938092
206,25:36.2,0.2553790921128224
207,25:36.2,0.2591887924753701
208,25:36.2,0.2630138525994231
209,25:36.2,0.2668528920498967
210,25:36.2,0.27070453490764423
211,25:36.2,0.2745674150213868
212,25:36.2,0.27844018116482944
213,25:36.2,0.28232150203274436
