,Waktu,Pipi
318,04:46.7,288
319,04:46.7,285
320,04:46.7,283
321,04:46.8,278
322,04:46.8,280
323,04:46.8,280
324,04:46.8,278
325,04:46.8,279
326,04:46.8,280
327,04:46.8,277
328,04:46.8,275
329,04:46.8,273
330,04:46.8,281
331,04:46.8,290
332,04:46.8,289
333,04:46.9,287
334,04:46.9,290
335,04:46.9,294
336,04:46.9,302
337,04:46.9,303
338,04:46.9,299
339,04:46.9,296
340,04:46.9,292
341,04:46.9,295
342,04:46.9,293
343,04:46.9,294
344,04:46.9,297
345,04:47.0,301
346,04:47.0,298
347,04:47.0,295
348,04:47.0,294
349,04:47.0,306
350,04:47.0,312
351,04:47.0,311
352,04:47.0,307
353,04:47.0,308
354,04:47.0,318
355,04:47.0,326
356,04:47.0,330
357,04:47.1,327
358,04:47.1,322
359,04:47.1,327
360,04:47.1,325
361,04:47.1,321
362,04:47.1,320
363,04:47.1,322
364,04:47.1,321
365,04:47.1,318
366,04:47.1,314
367,04:47.1,316
368,04:47.1,325
369,04:47.1,327
370,04:47.2,324
371,04:47.2,319
372,04:47.2,321
373,04:47.2,321
374,04:47.2,318
375,04:47.2,317
376,04:47.2,313
377,04:47.2,313
378,04:47.2,317
379,04:47.2,319
380,04:47.2,314
381,04:47.2,309
382,04:47.3,305
383,04:47.3,303
384,04:47.3,298
385,04:47.3,297
386,04:47.3,311
387,04:47.3,314
388,04:47.3,310
389,04:47.3,306
390,04:47.3,306
391,04:47.3,311
392,04:47.3,312
393,04:47.3,309
394,04:47.4,304
395,04:47.4,299
396,04:47.4,304
397,04:47.4,305
398,04:47.4,302
399,04:47.4,302
400,04:47.4,302
401,04:47.4,299
402,04:47.4,297
403,04:47.4,296
404,04:47.4,298
405,04:47.4,308
406,04:47.5,307
407,04:47.5,303
408,04:47.5,301
409,04:47.5,304
410,04:47.5,308
411,04:47.5,304
412,04:47.5,301
413,04:47.5,298
414,04:47.5,298
415,04:47.5,303
416,04:47.5,304
417,04:47.5,301
