,Waktu,Pipi
0,26:22.4,282
1,26:23.0,266
2,26:23.0,265
3,26:23.0,264
4,26:23.0,263
5,26:23.0,262
6,26:23.0,261
7,26:23.0,260
8,26:23.0,259
9,26:23.0,258
10,26:23.0,257
11,26:23.0,256
12,26:23.0,257
13,26:23.0,258
14,26:23.0,258
15,26:23.0,258
16,26:23.0,259
17,26:23.0,260
18,26:23.0,261
19,26:23.1,259
20,26:23.1,265
21,26:23.1,276
22,26:23.1,281
23,26:23.1,280
24,26:23.1,279
25,26:23.1,278
26,26:23.1,282
27,26:23.1,284
28,26:23.1,283
29,26:23.1,281
30,26:23.1,279
31,26:23.1,279
32,26:23.1,277
33,26:23.1,277
34,26:23.1,277
35,26:23.1,277
36,26:23.1,276
37,26:23.1,276
38,26:23.1,273
39,26:23.1,274
40,26:23.1,275
41,26:23.1,275
42,26:23.1,273
43,26:23.1,270
44,26:23.1,268
45,26:23.2,270
46,26:23.2,271
47,26:23.2,270
48,26:23.2,267
49,26:23.2,265
50,26:23.2,265
51,26:23.2,267
52,26:23.2,269
53,26:23.2,268
54,26:23.2,267
55,26:23.2,268
56,26:23.2,268
57,26:23.2,267
58,26:23.2,266
59,26:23.2,265
60,26:23.2,265
61,26:23.2,264
62,26:23.2,261
63,26:23.2,261
64,26:23.2,261
65,26:23.2,259
66,26:23.2,257
67,26:23.2,254
68,26:23.2,252
69,26:23.2,249
70,26:23.3,247
71,26:23.3,246
72,26:23.3,245
73,26:23.3,243
74,26:23.3,242
75,26:23.3,240
76,26:23.3,244
77,26:23.3,246
78,26:23.3,244
79,26:23.3,242
80,26:23.3,241
81,26:23.3,239
82,26:23.3,240
83,26:23.3,239
84,26:23.3,237
85,26:23.3,235
86,26:23.3,233
87,26:23.3,237
88,26:23.3,237
89,26:23.3,238
90,26:23.3,240
91,26:23.3,241
92,26:23.3,243
93,26:23.3,241
94,26:23.3,241
95,26:23.4,244
96,26:23.4,245
97,26:23.4,244
98,26:23.4,241
99,26:23.4,239
100,26:23.4,242
101,26:23.4,249
102,26:23.4,249
103,26:23.4,246
104,26:23.4,245
105,26:23.4,242
106,26:23.4,240
107,26:23.4,240
108,26:23.4,238
109,26:23.4,235
110,26:23.4,233
111,26:23.4,237
112,26:23.4,237
113,26:23.4,238
114,26:23.4,240
115,26:23.4,245
116,26:23.4,244
117,26:23.4,243
118,26:23.4,246
119,26:23.4,255
120,26:23.4,260
121,26:23.5,259
122,26:23.5,258
123,26:23.5,259
124,26:23.5,259
125,26:23.5,256
126,26:23.5,253
127,26:23.5,250
128,26:23.5,249
129,26:23.5,248
130,26:23.5,246
131,26:23.5,244
132,26:23.5,244
133,26:23.5,242
134,26:23.5,240
135,26:23.5,239
136,26:23.5,237
137,26:23.5,237
138,26:23.5,240
139,26:23.5,240
140,26:23.5,238
141,26:23.5,236
142,26:23.5,237
143,26:23.5,236
144,26:23.5,235
145,26:23.5,232
146,26:23.6,230
147,26:23.6,227
148,26:23.6,229
149,26:23.6,226
