,Waktu,Pipi,,,,
414,28:13.8,146,,,,
415,28:13.8,145,,,,
416,28:13.8,145,,,,
417,28:13.8,145,,,,
418,28:13.8,143,,,,
419,28:13.8,141,,,,
420,28:13.8,140,,,,
421,28:13.8,141,,,,
422,28:13.8,145,,,,
423,28:13.8,144,,,,
424,28:13.8,143,,,,
425,28:13.8,144,,,,
426,28:13.8,146,,,,
427,28:13.8,146,,,,
428,28:13.8,145,,,,
429,28:13.8,143,,,,
430,28:13.8,142,,,,
431,28:13.8,140,,,,
432,28:13.8,142,,,,
433,28:13.8,142,,,,
434,28:13.8,142,,,,
435,28:13.8,142,,,,
436,28:13.9,141,,,,
437,28:13.9,139,,,,
438,28:13.9,136,,,,
439,28:13.9,135,,,,
440,28:13.9,138,,,,
441,28:13.9,140,,,,
442,28:13.9,138,,,,
443,28:13.9,138,,,,
444,28:13.9,140,,,,
445,28:13.9,142,,,,
446,28:13.9,141,,,,
447,28:13.9,139,,,,
448,28:13.9,138,,,,
449,28:13.9,136,,,,
450,28:13.9,137,,,,
451,28:13.9,137,,,,
452,28:13.9,137,,,,
453,28:13.9,138,,,,
454,28:13.9,138,,,,
455,28:13.9,138,,,,
456,28:13.9,136,,,,
457,28:13.9,134,,,,
458,28:13.9,135,,,,
459,28:13.9,138,,,,
460,28:13.9,139,,,,
461,28:13.9,138,,,,
462,28:13.9,138,,,,
463,28:13.9,141,,,,
464,28:14.0,140,,,,
465,28:14.0,140,,,,
466,28:14.0,140,,,,
467,28:14.0,139,,,,
468,28:14.0,139,,,,
469,28:14.0,140,,,,
470,28:14.0,139,,,,
471,28:14.0,139,,,,
472,28:14.0,139,,,,
473,28:14.0,138,,,,
474,28:14.0,136,,,,
475,28:14.0,134,,,,
476,28:14.0,132,,,,
477,28:14.0,136,,,,
478,28:14.0,138,,,,
479,28:14.0,136,,,,
480,28:14.0,137,,,,
481,28:14.0,138,,,,
482,28:14.0,141,,,,
483,28:14.0,141,,,,
484,28:14.0,139,,,,
485,28:14.0,137,,,,
486,28:14.0,135,,,,
487,28:14.0,136,,,,
488,28:14.1,136,,,,
489,28:14.1,135,,,,
490,28:14.1,137,,,,
491,28:14.1,137,,,,
492,28:14.1,137,,,,
493,28:14.1,135,,,,
494,28:14.1,133,,,,
495,28:14.1,134,,,,
496,28:14.1,137,,,,
497,28:14.1,138,,,,
498,28:14.1,136,,,,
499,28:14.1,140,,,,
500,28:14.1,146,,,,
501,28:14.1,149,,,,
502,28:14.1,150,,,,
503,28:14.1,148,,,,
504,28:14.1,147,,,,
505,28:14.1,145,,,,
506,28:14.1,147,,,,
507,28:14.1,147,,,,
508,28:14.1,146,,,,
509,28:14.1,147,,,,
510,28:14.1,147,,,,
511,28:14.1,145,,,,
512,28:14.1,145,,,,
513,28:14.1,143,,,,
514,28:14.2,146,,,,
515,28:14.2,148,,,,
516,28:14.2,148,,,,
517,28:14.2,148,,,,
518,28:14.2,149,,,,
519,28:14.2,153,,,,
520,28:14.2,155,,,,
521,28:14.2,155,,,,
522,28:14.2,153,,,,
523,28:14.2,152,,,,
524,28:14.2,152,,,,
525,28:14.2,151,,,,
526,28:14.2,152,,,,
527,28:14.2,153,,,,
528,28:14.2,154,,,,
529,28:14.2,153,,,,
530,28:14.2,152,,,,
531,28:14.2,150,,,,
532,28:14.2,150,,,,
533,28:14.2,154,,,,
534,28:14.2,154,,,,
535,28:14.2,153,,,,
536,28:14.2,155,,,,
537,28:14.2,157,,,,
538,28:14.2,158,,,,
539,28:14.2,158,,,,
540,28:14.3,156,,,,
541,28:14.3,154,,,,
542,28:14.3,152,,,,
543,28:14.3,154,,,,
544,28:14.3,154,,,,
545,28:14.3,153,,,,
546,28:14.3,154,,,,
547,28:14.3,154,,,,
548,28:14.3,153,,,,
549,28:14.3,152,,,,
550,28:14.3,149,,,,
551,28:14.3,152,,,,
552,28:14.3,155,,,,
553,28:14.3,155,,,,
554,28:14.3,154,,,,
555,28:14.3,156,,,,
556,28:14.3,158,,,,
557,28:14.3,158,,,,
558,28:14.3,157,,,,
559,28:14.3,155,,,,
560,28:14.3,153,,,,
561,28:14.3,153,,,,
562,28:14.3,154,,,,
563,28:14.3,153,,,,
564,28:14.3,153,,,,
565,28:14.3,154,,,,
566,28:14.4,152,,,,
567,28:14.4,150,,,,
568,28:14.4,148,,,,
569,28:14.4,148,,,,
570,28:14.4,152,,,,
571,28:14.4,153,,,,
572,28:14.4,151,,,,
573,28:14.4,152,,,,
574,28:14.4,153,,,,
575,28:14.4,154,,,,
576,28:14.4,154,,,,
577,28:14.4,153,,,,
578,28:14.4,151,,,,
579,28:14.4,149,,,,
580,28:14.4,150,,,,
581,28:14.4,150,,,,
582,28:14.4,149,,,,
583,28:14.4,150,,,,
584,28:14.4,149,,,,
585,28:14.4,147,,,,
586,28:14.4,145,,,,
587,28:14.4,143,,,,
588,28:14.4,146,,,,
589,28:14.4,148,,,,
590,28:14.4,148,,,,
591,28:14.5,146,,,,
592,28:14.5,147,,,,
593,28:14.5,149,,,,
594,28:14.5,149,,,,
595,28:14.5,148,,,,
596,28:14.5,146,,,,
597,28:14.5,144,,,,
598,28:14.5,144,,,,
599,28:14.5,146,,,,
600,28:14.5,145,,,,
601,28:14.5,146,,,,
602,28:14.5,146,,,,
603,28:14.5,147,,,,
604,28:14.5,146,,,,
605,28:14.5,145,,,,
606,28:14.5,144,,,,
607,28:14.5,148,,,,
608,28:14.5,149,,,,
609,28:14.5,147,,,,
610,28:14.5,150,,,,
611,28:14.5,152,,,,
612,28:14.5,154,,,,
613,28:14.5,154,,,,
614,28:14.5,152,,,,
615,28:14.5,150,,,,
616,28:14.5,148,,,,
617,28:14.6,150,,,,
618,28:14.6,150,,,,
619,28:14.6,150,,,,
620,28:14.6,150,,,,
621,28:14.6,150,,,,
622,28:14.6,150,,,,
623,28:14.6,148,,,,
624,28:14.6,148,,,,
625,28:14.6,150,,,,
626,28:14.6,153,,,,
627,28:14.6,152,,,,
628,28:14.6,151,,,,
629,28:14.6,152,,,,
630,28:14.6,153,,,,
631,28:14.6,153,,,,
632,28:14.6,152,,,,
633,28:14.6,151,,,,
634,28:14.6,149,,,,
635,28:14.6,149,,,,
636,28:14.6,151,,,,
637,28:14.6,151,,,,
638,28:14.6,150,,,,
639,28:14.6,150,,,,
640,28:14.6,150,,,,
641,28:14.6,149,,,,
642,28:14.6,147,,,,
643,28:14.7,146,,,,
644,28:14.7,150,,,,
645,28:14.7,151,,,,
646,28:14.7,149,,,,
647,28:14.7,149,,,,
648,28:14.7,151,,,,
649,28:14.7,152,,,,
650,28:14.7,151,,,,
651,28:14.7,149,,,,
652,28:14.7,147,,,,
653,28:14.7,145,,,,
654,28:14.7,147,,,,
655,28:14.7,147,,,,
656,28:14.7,146,,,,
657,28:14.7,148,,,,
658,28:14.7,148,,,,
659,28:14.7,147,,,,
660,28:14.7,145,,,,
661,28:14.7,143,,,,
662,28:14.7,145,,,,
663,28:14.7,148,,,,
664,28:14.7,147,,,,
665,28:14.7,147,,,,
666,28:14.7,149,,,,
667,28:14.7,151,,,,
668,28:14.7,151,,,,
669,28:14.8,151,,,,
670,28:14.8,149,,,,
671,28:14.8,147,,,,
672,28:14.8,146,,,,
673,28:14.8,147,,,,
674,28:14.8,145,,,,
675,28:14.8,146,,,,
676,28:14.8,146,,,,
677,28:14.8,145,,,,
678,28:14.8,143,,,,
679,28:14.8,142,,,,
680,28:14.8,141,,,,
681,28:14.8,144,,,,
682,28:14.8,145,,,,
683,28:14.8,143,,,,
684,28:14.8,144,,,,
685,28:14.8,146,,,,
686,28:14.8,146,,,,
687,28:14.8,144,,,,
688,28:14.8,143,,,,
689,28:14.8,141,,,,
690,28:14.8,139,,,,
691,28:14.8,140,,,,
692,28:14.8,141,,,,
693,28:14.8,141,,,,
694,28:14.8,142,,,,
695,28:14.8,143,,,,
696,28:14.9,142,,,,
697,28:14.9,140,,,,
698,28:14.9,139,,,,
699,28:14.9,140,,,,
700,28:14.9,143,,,,
701,28:14.9,143,,,,
702,28:14.9,142,,,,
703,28:14.9,143,,,,
704,28:14.9,145,,,,
705,28:14.9,146,,,,
706,28:14.9,146,,,,
707,28:14.9,145,,,,
708,28:14.9,143,,,,
709,28:14.9,142,,,,
710,28:14.9,144,,,,
711,28:14.9,143,,,,
712,28:14.9,144,,,,
713,28:14.9,145,,,,
714,28:14.9,144,,,,
715,28:14.9,143,,,,
716,28:14.9,142,,,,
717,28:14.9,140,,,,
718,28:14.9,144,,,,
719,28:14.9,146,,,,
720,28:14.9,144,,,,
721,28:15.0,144,,,,
722,28:15.0,146,,,,
723,28:15.0,148,,,,
724,28:15.0,147,,,,
725,28:15.0,145,,,,
726,28:15.0,144,,,,
727,28:15.0,143,,,,
728,28:15.0,144,,,,
729,28:15.0,145,,,,
730,28:15.0,144,,,,
731,28:15.0,145,,,,
732,28:15.0,145,,,,
733,28:15.0,144,,,,
734,28:15.0,142,,,,
735,28:15.0,141,,,,
736,28:15.0,143,,,,
737,28:15.0,146,,,,
738,28:15.0,146,,,,
739,28:15.0,145,,,,
740,28:15.0,145,,,,
741,28:15.0,147,,,,
742,28:15.0,148,,,,
743,28:15.0,147,,,,
744,28:15.0,145,,,,
745,28:15.0,143,,,,
746,28:15.0,142,,,,
747,28:15.1,144,,,,
748,28:15.1,142,,,,
749,28:15.1,144,,,,
750,28:15.1,144,,,,
751,28:15.1,143,,,,
752,28:15.1,141,,,,
753,28:15.1,139,,,,
754,28:15.1,138,,,,
755,28:15.1,141,,,,
756,28:15.1,143,,,,
757,28:15.1,142,,,,
758,28:15.1,142,,,,
759,28:15.1,143,,,,
760,28:15.1,145,,,,
761,28:15.1,144,,,,
762,28:15.1,142,,,,
763,28:15.1,140,,,,
764,28:15.1,138,,,,
765,28:15.1,139,,,,
766,28:15.1,140,,,,
767,28:15.1,139,,,,
768,28:15.1,139,,,,
769,28:15.1,137,,,,
770,28:15.1,136,,,,
771,28:15.1,135,,,,
772,28:15.1,133,,,,
773,28:15.1,135,,,,
774,28:15.1,138,,,,
775,28:15.2,140,,,,
776,28:15.2,138,,,,
777,28:15.2,138,,,,
778,28:15.2,139,,,,
779,28:15.2,140,,,,
780,28:15.2,139,,,,
781,28:15.2,137,,,,
782,28:15.2,136,,,,
783,28:15.2,135,,,,
784,28:15.2,138,,,,
785,28:15.2,138,,,,
786,28:15.2,138,,,,
787,28:15.2,139,,,,
788,28:15.2,139,,,,
789,28:15.2,138,,,,
790,28:15.2,136,,,,
791,28:15.2,134,,,,
792,28:15.2,137,,,,
793,28:15.2,138,,,,
794,28:15.2,137,,,,
795,28:15.2,137,,,,
796,28:15.2,137,,,,
797,28:15.2,139,,,,
798,28:15.2,138,,,,
799,28:15.2,137,,,,
800,28:15.2,134,,,,
801,28:15.2,133,,,,
802,28:15.3,134,,,,
803,28:15.3,134,,,,
804,28:15.3,133,,,,
805,28:15.3,134,,,,
806,28:15.3,134,,,,
807,28:15.3,133,,,,
808,28:15.3,131,,,,
809,28:15.3,131,,,,
810,28:15.3,131,,,,
811,28:15.3,136,,,,
812,28:15.3,136,,,,
813,28:15.3,134,,,,
814,28:15.3,135,,,,
815,28:15.3,137,,,,
816,28:15.3,138,,,,
817,28:15.3,138,,,,
818,28:15.3,136,,,,
819,28:15.3,134,,,,
820,28:15.3,133,,,,
821,28:15.3,135,,,,
822,28:15.3,134,,,,
823,28:15.3,134,,,,
824,28:15.3,135,,,,
825,28:15.4,134,,,,
826,28:15.4,132,,,,
827,28:15.4,130,,,,
828,28:15.4,129,,,,
829,28:15.4,132,,,,
830,28:15.4,135,,,,
831,28:15.4,134,,,,
832,28:15.4,133,,,,
833,28:15.4,135,,,,
834,28:15.4,137,,,,
835,28:15.4,137,,,,
836,28:15.4,136,,,,
837,28:15.4,134,,,,
838,28:15.4,132,,,,
839,28:15.4,133,,,,
840,28:15.4,135,,,,
841,28:15.4,134,,,,
842,28:15.4,135,,,,
843,28:15.4,135,,,,
844,28:15.4,134,,,,
845,28:15.4,133,,,,
846,28:15.4,131,,,,
847,28:15.4,132,,,,
848,28:15.4,136,,,,
849,28:15.4,137,,,,
850,28:15.4,136,,,,
851,28:15.4,137,,,,
852,28:15.5,139,,,,
853,28:15.5,140,,,,
854,28:15.5,140,,,,
855,28:15.5,139,,,,
856,28:15.5,138,,,,
857,28:15.5,135,,,,
858,28:15.5,137,,,,
859,28:15.5,137,,,,
860,28:15.5,137,,,,
861,28:15.5,139,,,,
862,28:15.5,138,,,,
863,28:15.5,137,,,,
864,28:15.5,135,,,,
865,28:15.5,135,,,,
866,28:15.5,137,,,,
867,28:15.5,141,,,,
868,28:15.5,140,,,,
869,28:15.5,140,,,,
870,28:15.5,141,,,,
871,28:15.5,142,,,,
872,28:15.5,143,,,,
873,28:15.5,143,,,,
874,28:15.5,141,,,,
875,28:15.5,140,,,,
876,28:15.5,140,,,,
877,28:15.6,141,,,,
878,28:15.6,141,,,,
879,28:15.6,141,,,,
880,28:15.6,142,,,,
881,28:15.6,141,,,,
882,28:15.6,140,,,,
883,28:15.6,138,,,,
884,28:15.6,139,,,,
885,28:15.6,143,,,,
886,28:15.6,144,,,,
887,28:15.6,142,,,,
888,28:15.6,144,,,,
889,28:15.6,145,,,,
890,28:15.6,146,,,,
891,28:15.6,146,,,,
892,28:15.6,145,,,,
893,28:15.6,144,,,,
894,28:15.6,142,,,,
895,28:15.6,143,,,,
896,28:15.6,143,,,,
897,28:15.6,143,,,,
898,28:15.6,144,,,,
899,28:15.6,144,,,,
900,28:15.6,142,,,,
901,28:15.6,140,,,,
902,28:15.6,140,,,,
903,28:15.6,143,,,,
904,28:15.6,145,,,,
905,28:15.6,145,,,,
906,28:15.6,145,,,,
907,28:15.7,145,,,,
908,28:15.7,147,,,,
909,28:15.7,147,,,,
910,28:15.7,145,,,,
911,28:15.7,143,,,,
912,28:15.7,142,,,,
913,28:15.7,143,,,,
914,28:15.7,145,,,,
915,28:15.7,144,,,,
916,28:15.7,145,,,,
917,28:15.7,145,,,,
918,28:15.7,145,,,,
919,28:15.7,143,,,,
920,28:15.7,142,,,,
921,28:15.7,142,,,,
922,28:15.7,146,,,,
923,28:15.7,147,,,,
924,28:15.7,145,,,,
925,28:15.7,146,,,,
926,28:15.7,147,,,,
927,28:15.7,148,,,,
928,28:15.7,147,,,,
929,28:15.7,146,,,,
930,28:15.7,144,,,,
931,28:15.7,142,,,,
932,28:15.8,144,,,,
933,28:15.8,144,,,,
934,28:15.8,144,,,,
935,28:15.8,143,,,,
936,28:15.8,142,,,,
937,28:15.8,141,,,,
938,28:15.8,140,,,,
939,28:15.8,138,,,,
940,28:15.8,141,,,,
941,28:15.8,145,,,,
942,28:15.8,145,,,,
943,28:15.8,144,,,,
944,28:15.8,144,,,,
945,28:15.8,145,,,,
946,28:15.8,145,,,,
947,28:15.8,144,,,,
948,28:15.8,142,,,,
949,28:15.8,141,,,,
950,28:15.8,140,,,,
951,28:15.8,141,,,,
952,28:15.8,141,,,,
953,28:15.8,142,,,,
954,28:15.8,142,,,,
955,28:15.8,141,,,,
956,28:15.8,139,,,,
957,28:15.8,138,,,,
958,28:15.9,137,,,,
959,28:15.9,140,,,,
960,28:15.9,141,,,,
961,28:15.9,139,,,,
962,28:15.9,140,,,,
963,28:15.9,142,,,,
964,28:15.9,144,,,,
965,28:15.9,143,,,,
966,28:15.9,142,,,,
967,28:15.9,140,,,,
968,28:15.9,138,,,,
969,28:15.9,140,,,,
970,28:15.9,140,,,,
971,28:15.9,139,,,,
972,28:15.9,139,,,,
973,28:15.9,138,,,,
974,28:15.9,137,,,,
975,28:15.9,135,,,,
976,28:15.9,133,,,,
977,28:15.9,136,,,,
978,28:15.9,139,,,,
979,28:15.9,139,,,,
980,28:15.9,138,,,,
981,28:15.9,139,,,,s
982,28:15.9,142,,,,
983,28:15.9,141,,,,
984,28:16.0,140,,,,
985,28:16.0,138,,,,
986,28:16.0,137,,,,
987,28:16.0,136,,,,
988,28:16.0,137,,,,
989,28:16.0,136,,,,
990,28:16.0,137,,,,
991,28:16.0,137,,,,
992,28:16.0,136,,,,
993,28:16.0,134,,,,
994,28:16.0,132,,,,
995,28:16.0,132,,,,
