,Waktu,pipi,alis,Pipi,Alis
116,21:28.0,53,235,0.258789063,1.147460938
117,21:28.0,52,234,0.25390625,1.142578125
118,21:28.0,53,231,0.258789063,1.127929688
119,21:28.0,52,229,0.25390625,1.118164063
120,21:28.0,52,224,0.25390625,1.09375
121,21:28.0,52,222,0.25390625,1.083984375
122,21:28.0,52,224,0.25390625,1.09375
123,21:28.0,52,227,0.25390625,1.108398438
124,21:28.1,52,228,0.25390625,1.11328125
125,21:28.1,52,232,0.25390625,1.1328125
126,21:28.1,54,241,0.263671875,1.176757813
127,21:28.1,52,242,0.25390625,1.181640625
128,21:28.1,52,238,0.25390625,1.162109375
129,21:28.1,53,234,0.258789063,1.142578125
130,21:28.1,53,230,0.258789063,1.123046875
131,21:28.1,52,232,0.25390625,1.1328125
132,21:28.1,52,237,0.25390625,1.157226563
133,21:28.1,53,242,0.258789063,1.181640625
134,21:28.1,53,245,0.258789063,1.196289063
135,21:28.1,52,242,0.25390625,1.181640625
136,21:28.1,53,238,0.258789063,1.162109375
137,21:28.1,53,236,0.258789063,1.15234375
138,21:28.1,53,231,0.258789063,1.127929688
139,21:28.1,53,227,0.258789063,1.108398438
140,21:28.1,53,227,0.258789063,1.108398438
141,21:28.1,52,227,0.25390625,1.108398438
142,21:28.1,53,224,0.258789063,1.09375
143,21:28.1,54,231,0.263671875,1.127929688
144,21:28.1,54,244,0.263671875,1.19140625
145,21:28.1,53,248,0.258789063,1.2109375
146,21:28.1,52,244,0.25390625,1.19140625
147,21:28.1,54,242,0.263671875,1.181640625
148,21:28.1,53,241,0.258789063,1.176757813
149,21:28.1,53,241,0.258789063,1.176757813
150,21:28.1,54,240,0.263671875,1.171875
151,21:28.1,54,240,0.263671875,1.171875
152,21:28.1,53,243,0.258789063,1.186523438
153,21:28.1,54,240,0.263671875,1.171875
154,21:28.2,54,242,0.263671875,1.181640625
155,21:28.2,54,244,0.263671875,1.19140625
156,21:28.2,53,246,0.258789063,1.201171875
157,21:28.2,52,251,0.25390625,1.225585938
158,21:28.2,54,255,0.263671875,1.245117188
159,21:28.2,53,255,0.258789063,1.245117188
160,21:28.2,54,256,0.263671875,1.25
161,21:28.2,54,254,0.263671875,1.240234375
162,21:28.2,53,248,0.258789063,1.2109375
163,21:28.2,53,244,0.258789063,1.19140625
164,21:28.2,55,243,0.268554688,1.186523438
165,21:28.2,54,243,0.263671875,1.186523438
166,21:28.2,53,244,0.258789063,1.19140625
167,21:28.2,52,243,0.25390625,1.186523438
168,21:28.2,54,244,0.263671875,1.19140625
169,21:28.2,53,245,0.258789063,1.196289063
170,21:28.2,53,244,0.258789063,1.19140625
171,21:28.2,53,246,0.258789063,1.201171875
172,21:28.2,54,247,0.263671875,1.206054688
