,Waktu,Pipi
0,19:43.6,300
1,19:44.1,302
2,19:44.1,304
3,19:44.1,306
4,19:44.1,308
5,19:44.2,309
6,19:44.2,310
7,19:44.2,309
8,19:44.2,309
9,19:44.2,308
10,19:44.2,307
11,19:44.2,306
12,19:44.2,304
13,19:44.2,304
14,19:44.2,307
15,19:44.2,311
16,19:44.2,314
17,19:44.2,310
18,19:44.2,309
19,19:44.2,311
20,19:44.2,316
21,19:44.2,317
22,19:44.2,315
23,19:44.2,311
24,19:44.3,309
25,19:44.3,313
26,19:44.3,312
27,19:44.3,310
28,19:44.3,312
29,19:44.3,314
30,19:44.3,314
31,19:44.3,311
32,19:44.3,307
33,19:44.3,307
34,19:44.3,315
35,19:44.3,315
36,19:44.3,310
37,19:44.3,311
38,19:44.3,315
39,19:44.3,318
40,19:44.3,317
41,19:44.3,314
42,19:44.3,309
43,19:44.3,311
44,19:44.4,313
45,19:44.4,309
46,19:44.4,309
47,19:44.4,312
48,19:44.4,313
49,19:44.4,312
50,19:44.4,309
51,19:44.4,305
52,19:44.4,312
53,19:44.4,317
54,19:44.4,314
55,19:44.4,313
56,19:44.4,315
57,19:44.4,320
58,19:44.4,321
59,19:44.4,319
60,19:44.4,316
61,19:44.4,312
62,19:44.4,317
63,19:44.4,317
64,19:44.5,314
65,19:44.5,316
66,19:44.5,318
67,19:44.5,318
68,19:44.5,316
69,19:44.5,312
70,19:44.5,311
71,19:44.5,319
72,19:44.5,320
73,19:44.5,316
74,19:44.5,317
75,19:44.5,321
76,19:44.5,324
77,19:44.5,323
78,19:44.5,320
79,19:44.5,315
80,19:44.5,316
81,19:44.5,320
82,19:44.5,317
83,19:44.6,316
84,19:44.6,319
85,19:44.6,320
86,19:44.6,319
87,19:44.6,316
88,19:44.6,311
89,19:44.6,317
90,19:44.6,322
91,19:44.6,320
92,19:44.6,317
93,19:44.6,319
94,19:44.6,323
95,19:44.6,325
96,19:44.6,324
97,19:44.6,321
98,19:44.6,317
99,19:44.6,322
100,19:44.6,322
101,19:44.6,318
102,19:44.7,321
103,19:44.7,323
104,19:44.7,324
105,19:44.7,321
106,19:44.7,318
107,19:44.7,317
108,19:44.7,325
109,19:44.7,326
110,19:44.7,321
111,19:44.7,323
112,19:44.7,327
113,19:44.7,331
114,19:44.7,330
115,19:44.7,328
116,19:44.7,322
117,19:44.7,323
118,19:44.7,326
119,19:44.7,323
120,19:44.7,322
121,19:44.8,324
122,19:44.8,326
123,19:44.8,326
124,19:44.8,323
125,19:44.8,318
126,19:44.8,323
127,19:44.8,329
128,19:44.8,326
129,19:44.8,322
130,19:44.8,324
131,19:44.8,328
132,19:44.8,330
133,19:44.8,329
134,19:44.8,325
135,19:44.8,320
136,19:44.8,325
137,19:44.8,326
138,19:44.8,322
139,19:44.9,324
140,19:44.9,326
141,19:44.9,327
142,19:44.9,325
143,19:44.9,321
144,19:44.9,319
145,19:44.9,327
146,19:44.9,329
147,19:44.9,324
148,19:44.9,324
149,19:44.9,328
150,19:44.9,332
151,19:44.9,332
152,19:44.9,329
153,19:44.9,324
154,19:44.9,323
155,19:44.9,327
156,19:44.9,325
157,19:44.9,324
158,19:45.0,326
159,19:45.0,328
160,19:45.0,328
161,19:45.0,325
162,19:45.0,320
163,19:45.0,323
164,19:45.0,329
165,19:45.0,327
166,19:45.0,323
167,19:45.0,326
168,19:45.0,331
169,19:45.0,332
170,19:45.0,331
171,19:45.0,327
172,19:45.0,321
173,19:45.0,325
174,19:45.0,326
175,19:45.0,322
176,19:45.0,323
177,19:45.0,326
178,19:45.1,326
179,19:45.1,325
180,19:45.1,321
181,19:45.1,318
182,19:45.1,326
183,19:45.1,329
184,19:45.1,323
185,19:45.1,324
186,19:45.1,327
187,19:45.1,331
188,19:45.1,331
189,19:45.1,328
190,19:45.1,323
191,19:45.1,322
192,19:45.1,326
193,19:45.1,324
194,19:45.1,322
195,19:45.1,324
196,19:45.1,326
197,19:45.2,324
198,19:45.2,320
199,19:45.2,316
200,19:45.2,318
201,19:45.2,326
202,19:45.2,324
203,19:45.2,320
204,19:45.2,322
205,19:45.2,327
206,19:45.2,329
207,19:45.2,327
208,19:45.2,323
209,19:45.2,317
210,19:45.2,320
211,19:45.2,321
212,19:45.2,317
213,19:45.2,318
214,19:45.2,321
215,19:45.2,321
216,19:45.2,320
217,19:45.3,316
218,19:45.3,312
219,19:45.3,320
220,19:45.3,322
221,19:45.3,318
222,19:45.3,317
223,19:45.3,320
224,19:45.3,324
225,19:45.3,324
226,19:45.3,322
227,19:45.3,318
228,19:45.3,315
229,19:45.3,320
230,19:45.3,318
231,19:45.3,316
232,19:45.3,318
233,19:45.3,320
234,19:45.3,319
235,19:45.3,317
236,19:45.3,311
237,19:45.4,311
238,19:45.4,318
239,19:45.4,317
240,19:45.4,313
241,19:45.4,314
242,19:45.4,318
243,19:45.4,320
244,19:45.4,319
245,19:45.4,315
246,19:45.4,310
247,19:45.4,312
248,19:45.4,313
249,19:45.4,310
250,19:45.4,311
251,19:45.4,314
252,19:45.4,315
