STDEV1,AVG1,MDN1,STDEV2,AVG2,MDN2,EMOSI
0.124144487,0.906175019,0.932784676,6.227051465,913.6818458,911.305678,1
0.118710177,0.116241269,0.097890303,5.531758877,801.6491115,799.4796871,1
0.116906941,0.860806942,0.870968197,2.736935727,868.1310952,868.9037157,1
0.117038837,0.880667255,0.905268137,6.773561216,919.2328761,919.2880555,1
0.122500067,0.171228419,0.14997189,15.71658578,1522.176681,1528.731938,1
0.172898783,0.33548085,0.328658907,3.147462106,219.2154971,220.3436243,1
0.366323799,0.648472599,0.870799926,5.638640393,223.1746097,225.7735186,1
0.248265485,0.660447792,0.607546366,0.33894194,31.41178798,31.49871693,1
0.174545682,0.768792957,0.819424919,0.252133396,115.0068766,115.1050026,1
0.292183225,0.727093281,0.855123511,0.630011185,18.4597549,18.40965866,1
0.260541743,0.63742936,0.756558269,0.013617665,0.22855282,0.227092679,1
0.308266018,0.375633028,0.28403995,0.03398817,2.042921396,2.049112869,1
0.229247451,0.543653519,0.585665269,0.033514928,1.768339608,1.773167135,1
0.293075894,0.437307043,0.407202413,0.125393456,9.403532675,9.42222207,1
0.307165876,0.442607744,0.423161754,0.030560663,1.830169843,1.833516397,1
0.119942157,0.852316569,0.871305162,7.166593179,370.3045733,372.6126296,1
0.325666078,0.479951926,0.434799049,20.71921492,2459.115073,2460.731237,1
0.130665264,0.108989288,0.068967331,2.77928075,391.8228832,393.1262542,1
0.327738634,0.433784099,0.41180586,72.67976315,4557.095312,4538.334636,1
0.267977495,0.396087145,0.351476086,26.06094818,4826.224853,4820.701702,1
0.241820533,0.318409703,0.292031437,0.004009873,15.37958312,15.38030165,1
0.241617535,0.230187115,0.146059401,0.000604514,4.866122696,4.866275772,1
0.169727448,0.326812137,0.325637025,0.010498077,35.008299,35.01051126,1
0.129137515,0.153780176,0.143713958,0.005929359,18.69996109,18.6993193,1
0.271905894,0.405392483,0.387764381,0.006665549,23.00946781,23.0107695,1
0.261916329,0.446945025,0.449009543,0.006838467,69.98606819,69.98687958,1
0.255889401,0.178186178,0.090016278,0.000719989,5.908338548,5.908188283,1
0.297736009,0.678803051,0.828523802,0.002854096,28.90757307,28.90823555,1
0.155513382,0.356844024,0.38426732,0.001838356,39.47350267,39.47345033,1
0.278424465,0.425898329,0.405145248,0.002359671,80.50137495,80.50201156,1
0.116765909,0.856696107,0.875058371,5.241848021,866.9586364,865.7391845,2
0.118178658,0.736519082,0.740067788,18.83528925,2153.662817,2147.996807,2
0.119055209,0.121812679,0.103084846,2.192975953,783.1789793,783.7777202,2
0.137132791,0.778944139,0.783542057,17.21500072,2332.25509,2337.898884,2
0.118551806,0.115348238,0.08971083,1.981542607,774.5273813,774.3740907,2
0.178513232,0.719013324,0.715996908,0.008677516,48.89437229,48.89478961,2
0.271809231,0.673409821,0.79346572,0.005933429,51.20484751,51.20272545,2
0.29388165,0.449661538,0.362941807,0.004861289,56.04880693,56.04861739,2
0.122713231,0.151349954,0.138289611,0.002521089,33.43957355,33.43977547,2
0.255212957,0.664407452,0.715653384,0.00105881,20.31058153,20.31067555,2
0.157764145,0.780296907,0.812239828,1.19155242,68.12050172,67.87993114,2
0.271662648,0.651790812,0.725294334,5.06789303,359.6274385,360.8236446,2
0.210834401,0.695120218,0.723597116,3.213355629,190.2746016,190.6514992,2
0.302967749,0.728984327,0.894733041,1.09708834,51.78732066,52.46050367,2
0.167232415,0.848422472,0.903963166,0.593921352,38.12315231,38.44786463,2
0.253460455,0.214825182,0.113415205,0.029751728,0.989367661,0.992887267,2
0.317717457,0.48812177,0.468634,0.059770035,3.608843628,3.618065834,2
0.309791114,0.558120156,0.579365913,0.058468281,4.077796083,4.090197549,2
0.286895517,0.201671802,0.062979031,0.022577504,1.13438463,1.137602754,2
0.377411458,0.617373048,0.701190522,0.006907298,0.116714974,0.115707861,2
0.125486536,0.209514976,0.22502728,9.059438934,850.8448039,853.8329614,2
0.25971287,0.529887656,0.576430755,19.86425857,2719.336272,2721.064981,2
0.271857588,0.412300755,0.368216787,12.76355301,2430.560028,2430.290451,2
0.250319801,0.533144313,0.561892664,40.67042151,3757.748841,3770.223374,2
0.264990384,0.648471127,0.742099597,17.18982814,2287.329906,2290.734662,2
0.303762267,0.570506217,0.708424699,0.007214925,23.81508361,23.81464604,2
0.17773535,0.48765864,0.509171818,0.004132826,12.48731221,12.48744398,2
0.181755018,0.375900319,0.318395692,0.004027614,13.96351388,13.9643481,2
0.314345184,0.377696689,0.237401898,0.005662248,16.89148331,16.89089966,2
0.264647037,0.320001004,0.379619357,0.002307457,7.700873562,7.700493023,2
0.11558753,0.137914982,0.122174387,0.4437458,3.617636769,3.450781171,3
0.409801028,0.532395561,0.612492492,0.003637889,0.241015604,0.242429156,3
0.118095179,0.217074374,0.223420633,10.1297718,719.3244015,723.1516713,3
0.133875371,0.087985759,0.061047301,6.03948698,1746.493317,1747.753725,3
0.281350941,0.839892621,0.95622883,0.011724936,0.173378911,0.17572064,3
0.342908786,0.550354876,0.712204823,0.764912673,11.18811623,11.06755847,3
0.261854321,0.538008451,0.606914856,0.736548165,28.3221693,28.41862319,3
0.227363041,0.404623413,0.414876658,0.181712514,4.822543001,4.860156792,3
0.258596667,0.825352931,0.933825348,0.749788993,17.12491789,17.32188828,3
0.271476303,0.73109851,0.848224988,0.810842788,19.81210542,19.60735449,3
0.226075702,0.364946285,0.324149292,0.426957971,8.261173326,8.423611674,3
0.228997142,0.603777566,0.644519339,0.2369337,5.814975993,5.841133869,3
0.237112766,0.453413317,0.433295746,0.310034456,11.46986587,11.52011904,3
0.25420153,0.723289164,0.798003405,0.3069971,11.3245443,11.34948513,3
0.189225335,0.442060882,0.450398689,0.172775731,6.06287311,6.085540223,3
0.135458513,0.105498351,0.065105472,1.881790535,518.3496752,518.0451204,3
0.258225331,0.452381659,0.41406879,0.013334165,58.06697487,58.06443326,3
0.173974387,0.160942515,0.08658034,0.005137129,24.64779444,24.64757784,3
0.333031142,0.36361876,0.259765033,0.003419824,19.52274872,19.52272216,3
0.247149775,0.578526903,0.603735827,0.005682787,28.84867737,28.84830016,3
0.297125012,0.499999551,0.54092952,106.8357905,3121.64768,3100.665842,3
0.128663999,0.136307616,0.109961451,4.8721899,339.5293314,339.6192446,3
0.113472974,0.251023443,0.249513554,15.60132366,894.3965744,897.7268517,3
0.275845944,0.423042637,0.440403906,32.21540855,2880.317593,2879.405253,3
0.275156191,0.545681635,0.58865131,20.72487325,2519.551497,2518.337995,3
0.253711994,0.656304554,0.739748238,3.779887204,10.37931094,9.744518155,3
0.166813115,0.202683823,0.220534718,0.385706224,13.65120937,13.84015482,3
0.251082368,0.270594266,0.200880032,0.000323284,1.667093962,1.667027467,3
0.307959028,0.562189726,0.641622109,2.321517213,11.34931734,12.07926921,3
0.208133892,0.522067392,0.545489695,0.012226521,31.50510245,31.5006934,3
0.310544715,0.69677096,0.817370023,0.044406634,55.25128998,55.26683596,4
0.236942384,0.618216,0.624821219,14.69656723,66.47309718,66.40618675,4
0.250289277,0.547532587,0.568197816,0.00860181,33.5199147,33.52183367,4
0.199514137,0.678371956,0.697123794,0.004586827,20.89357772,20.89443076,4
0.267834368,0.632090981,0.74019496,0.001722867,15.78097609,15.78119209,4
0.247921883,0.589539953,0.597026641,36.48429049,2620.310444,2621.033428,4
0.27628528,0.423456384,0.422920584,25.46009567,2037.144949,2043.003276,4
0.254807002,0.393513215,0.352665763,14.35248597,2088.375155,2087.017111,4
0.276628735,0.334996481,0.31902047,55.15473395,3894.542048,3893.037137,4
0.296100122,0.525756817,0.565591422,33.16084519,3186.260088,3188.568511,4
0.266150608,0.435561743,0.41341836,0.006886317,76.14856964,76.14766012,4
0.179086513,0.258933349,0.218668618,0.003934409,21.19087984,21.19082983,4
0.339023783,0.498257081,0.459243564,0.007491304,66.83677392,66.83683316,4
0.296220474,0.39256746,0.35126155,0.004345669,51.95849991,51.95793214,4
0.287787869,0.616663982,0.70448168,0.003044832,31.92688974,31.92748664,4
0.259053593,0.678951905,0.704940338,0.240129838,8.940167871,8.953640563,4
0.222158992,0.364366498,0.361148145,0.061570335,2.268660406,2.27611101,4
0.176012563,0.734372955,0.736301048,0.342885406,14.59985216,14.64167981,4
0.29693696,0.470951247,0.639825444,0.431587517,16.04956008,16.09683855,4
0.254408928,0.411311422,0.4237515,0.238679441,8.85601167,8.881625351,4
0.152028286,0.848542182,0.89231073,0.741872806,53.15476782,53.14455132,4
0.132818359,0.868618115,0.894749176,1.919940706,89.32713634,90.14779211,4
0.154346522,0.839337806,0.875583871,0.929382491,30.56445952,30.37263238,4
0.125667664,0.21187981,0.198105273,3.316545975,89.04219588,87.11937352,4
0.133083825,0.813019935,0.829595239,0.256539855,39.2547889,39.23828744,4
0.365905126,0.74194926,0.94987415,0.01308354,0.268811321,0.26641031,4
0.119025776,0.881130915,0.900512448,4.336280099,894.992773,895.9817507,4
0.144248179,0.76349645,0.765594325,23.13750936,2167.426072,2164.051982,4
0.124552905,0.899407081,0.921205193,6.239151131,929.8922923,927.3338993,4
0.120912408,0.129082959,0.114742636,3.016321527,754.8932815,755.1104658,4
