,Pipi,Alis
0,3.11523,4.70215
1,3.1543,4.70215
2,3.1933599999999998,4.69727
3,3.15918,4.69727
4,3.10547,4.69727
5,3.13477,4.69727
6,3.1787099999999997,4.69727
7,3.11523,4.69727
8,3.0712900000000003,4.70215
9,3.10547,4.70215
10,3.16895,4.70215
11,3.1640599999999997,4.69727
12,3.11035,4.69727
13,3.0859400000000003,4.69727
14,3.1640599999999997,4.69727
15,3.1640599999999997,4.69727
16,3.10059,4.69727
17,3.06641,4.70215
18,3.125,4.70215
19,3.16895,4.69727
20,3.14941,4.69727
21,3.11035,4.69727
22,3.11523,4.69727
23,3.14941,4.69727
24,3.14941,4.70215
25,3.09082,4.70215
26,3.0957,4.70215
27,3.16895,4.70215
28,3.20313,4.69727
29,3.16895,4.69727
30,3.12012,4.69727
31,3.15918,4.69727
32,3.1884799999999998,4.70215
33,3.13965,4.70215
34,3.0761700000000003,4.70215
35,3.0957,4.70215
36,3.1787099999999997,4.70215
37,3.1933599999999998,4.69727
38,3.14453,4.69727
39,3.11035,4.69727
40,3.14941,4.69727
41,3.15918,4.70215
42,3.09082,4.70215
43,3.06641,4.70215
44,3.11523,4.70215
45,3.18359,4.69727
46,3.1787099999999997,4.70215
47,3.13477,4.70215
48,3.11523,4.69727
49,3.1884799999999998,4.70215
50,3.15918,4.70215
51,3.0957,4.70215
52,3.09082,4.70215
53,3.1543,4.70215
54,3.18359,4.69727
55,3.1543,4.69727
56,3.12012,4.70215
57,3.14453,4.70215
58,3.1884799999999998,4.70215
59,3.14941,4.70215
60,3.0859400000000003,4.70215
61,3.10547,4.70215
62,3.18359,4.70215
63,3.20313,4.70215
64,3.15918,4.69727
65,3.12012,4.70215
66,3.1738299999999997,4.69727
67,3.1884799999999998,4.70215
68,3.13965,4.70215
69,3.11523,4.70215
70,3.1640599999999997,4.70215
71,3.22266,4.69727
72,3.20801,4.69727
73,3.14941,4.69727
74,3.13477,4.69727
75,3.1933599999999998,4.70215
76,3.1738299999999997,4.70215
77,3.11035,4.70215
78,3.0957,4.70215
79,3.16895,4.70215
80,3.20801,4.69727
81,3.1787099999999997,4.69727
82,3.125,4.69727
83,3.1640599999999997,4.69727
84,3.20801,4.70215
85,3.1640599999999997,4.70215
86,3.10547,4.70215
87,3.12012,4.70215
88,3.1884799999999998,4.69727
89,3.20801,4.69727
90,3.16895,4.69727
91,3.13477,4.70215
92,3.1933599999999998,4.70215
93,3.1933599999999998,4.70215
94,3.12988,4.70215
95,3.10059,4.70215
96,3.14453,4.70215
97,3.20313,4.69727
98,3.19824,4.69727
99,3.14453,4.69727
100,3.125,4.69727
101,3.18359,4.70215
