,Pipi,Alis
0,0.41503999999999996,1.33301
1,0.41991999999999996,1.3623
2,0.41503999999999996,1.39648
3,0.41016,1.3867200000000002
4,0.40526999999999996,1.3525399999999999
5,0.40526999999999996,1.34277
6,0.40039,1.3623
7,0.40039,1.34277
8,0.39551,1.32324
9,0.40039,1.33789
10,0.40039,1.40625
11,0.39551,1.41113
12,0.39551,1.37695
13,0.40039,1.34277
14,0.39551,1.36719
15,0.40039,1.35742
16,0.40039,1.34277
17,0.40039,1.32813
18,0.40039,1.35742
19,0.40526999999999996,1.40625
20,0.40039,1.4209
21,0.40039,1.3916
22,0.39551,1.40625
23,0.39063000000000003,1.48926
24,0.38574,1.58691
25,0.38086,1.65527
26,0.38574,1.6796900000000001
27,0.38574,1.6845700000000001
28,0.39551,1.64063
29,0.41016,1.54785
30,0.41991999999999996,1.47949
31,0.4248,1.46973
32,0.42968999999999996,1.4404299999999999
33,0.43456999999999996,1.40137
34,0.4248,1.36719
35,0.4248,1.38184
36,0.4248,1.40625
37,0.4248,1.40625
38,0.4248,1.38184
39,0.4248,1.35742
40,0.41991999999999996,1.38184
41,0.41991999999999996,1.35742
42,0.41016,1.34766
43,0.40526999999999996,1.3623
44,0.40526999999999996,1.3916
45,0.41016,1.40625
46,0.41503999999999996,1.37695
47,0.41503999999999996,1.34277
48,0.41503999999999996,1.3623
49,0.41503999999999996,1.3525399999999999
50,0.40526999999999996,1.33789
51,0.40039,1.38184
52,0.4248,1.47461
53,0.44433999999999996,1.5283200000000001
54,0.55176,1.51855
55,0.52246,1.45508
56,1.63574,1.41113
57,2.2558599999999998,1.4209
58,2.79785,1.38184
59,3.79883,1.34766
60,4.0918,1.34277
61,4.70215,1.36719
62,4.70215,1.38184
63,4.70215,1.3623
64,4.70215,1.33301
65,4.7070300000000005,1.3525399999999999
66,4.7070300000000005,1.34277
67,4.7070300000000005,1.29395
68,4.70215,1.27441
69,4.70215,1.29883
70,4.70215,1.34277
71,4.70215,1.3623
72,4.70215,1.34766
73,4.69727,1.33301
74,4.70215,1.36719
75,4.70215,1.34277
76,4.70215,1.32324
77,4.70215,1.32813
78,4.70215,1.3720700000000001
79,4.70215,1.39648
80,4.70215,1.38184
81,4.70215,1.3525399999999999
82,4.70215,1.3720700000000001
83,4.70215,1.37695
84,4.70215,1.3525399999999999
85,4.70215,1.32324
86,4.70215,1.34277
87,4.70215,1.37695
88,4.70215,1.39648
89,4.70215,1.35742
90,4.70215,1.33789
91,4.70215,1.35742
92,4.70215,1.32813
93,4.70215,1.31348
94,4.70215,1.3037100000000001
95,4.70215,1.34277
96,4.70215,1.36719
97,4.70215,1.35742
98,4.57031,1.32813
99,4.277340000000001,1.32813
100,4.013669999999999,1.33789
101,3.79883,1.32324
