,Pipi,Alis
0,4.70215,2.68555
1,4.7070300000000005,2.6171900000000003
2,4.70215,2.57324
3,4.70215,2.62695
4,4.69727,2.66113
5,4.70215,2.71484
6,4.70215,2.7050799999999997
7,4.70215,2.68066
8,4.70215,2.7246099999999998
9,4.7070300000000005,2.68555
10,4.70215,2.78809
11,4.69727,2.94922
12,4.70215,2.97852
13,4.70215,2.96875
14,4.70215,2.9150400000000003
15,4.70215,2.85645
16,4.7070300000000005,2.84668
17,4.70215,2.83691
18,4.70215,2.72949
19,4.70215,2.66113
20,4.70215,2.69043
21,4.70215,2.71484
22,4.70215,2.72949
23,4.70215,2.7099599999999997
24,4.70215,2.68555
25,4.70215,2.72949
26,4.70215,2.65137
27,4.70215,2.59766
28,4.69727,2.5927700000000002
29,4.70215,2.66113
30,4.70215,2.6953099999999997
31,4.70215,2.69043
32,4.70215,2.6709
33,4.70215,2.68555
34,4.7070300000000005,2.7050799999999997
35,4.70215,2.62695
36,4.70215,2.57324
37,4.70215,2.6171900000000003
38,4.70215,2.64648
39,4.70215,2.67578
40,4.70215,2.65625
41,4.7070300000000005,2.6416
42,4.70215,2.7002
43,4.70215,2.63184
44,4.70215,2.57324
45,4.69727,2.57324
46,4.70215,2.6416
47,4.70215,2.69043
48,4.70215,2.68066
49,4.70215,2.66113
50,4.70215,2.67578
51,4.70215,2.71484
52,4.70215,2.63184
53,4.70215,2.5878900000000002
54,4.70215,2.63672
55,4.69727,2.6709
56,4.70215,2.7050799999999997
57,4.69727,2.68555
58,4.70215,2.6709
59,4.70215,2.7197299999999998
60,4.70215,2.6416
61,4.70215,2.57813
62,4.69727,2.5683599999999998
63,4.70215,2.64648
64,4.70215,2.68555
65,4.69727,2.68066
66,4.69727,2.65625
67,4.70215,2.6709
68,4.70215,2.6953099999999997
69,4.70215,2.6025400000000003
70,4.70215,2.5488299999999997
71,4.70215,2.5878900000000002
72,4.69727,2.63672
73,4.70215,2.6709
74,4.70215,2.65137
75,4.70215,2.63672
76,4.70215,2.68066
77,4.70215,2.62695
78,4.70215,2.55859
79,4.69727,2.5390599999999997
80,4.70215,2.63184
81,4.70215,2.6709
82,4.70215,2.6709
83,4.70215,2.65625
84,4.7070300000000005,2.65625
85,4.70215,2.71484
86,4.7070300000000005,2.63184
87,4.7070300000000005,2.5878900000000002
88,4.70215,2.63672
89,4.69727,2.68555
90,4.70215,2.7246099999999998
91,4.70215,2.7099599999999997
92,4.70215,2.68066
93,4.70215,2.72949
94,4.70215,2.68555
95,4.70215,2.62695
96,4.70215,2.6074200000000003
97,4.69727,2.68555
