,Pipi,Alis
0,4.70215,2.82227
1,4.70215,2.95898
2,4.70215,3.0127
3,4.70215,2.98828
4,4.70215,2.94434
5,4.70215,2.89062
6,4.7070300000000005,2.88574
7,4.70215,2.9052700000000002
8,4.70215,2.78809
9,4.7070300000000005,2.7002
10,4.70215,2.71484
11,4.70215,2.7441400000000002
12,4.70215,2.7636700000000003
13,4.70215,2.72949
14,4.7070300000000005,2.71484
15,4.70215,2.7734400000000003
16,4.70215,2.7099599999999997
17,4.70215,2.6123
18,4.70215,2.57813
19,4.70215,2.63672
20,4.70215,2.67578
21,4.70215,2.68555
22,4.70215,2.66113
23,4.70215,2.66113
24,4.70215,2.7099599999999997
25,4.7070300000000005,2.6171900000000003
26,4.70215,2.5537099999999997
27,4.70215,2.5878900000000002
28,4.69727,2.63672
29,4.69727,2.68555
30,4.70215,2.67578
31,4.7070300000000005,2.6709
32,4.70215,2.7246099999999998
33,4.70215,2.68066
34,4.70215,2.6025400000000003
35,4.70215,2.57813
36,4.70215,2.66113
37,4.70215,2.69043
38,4.70215,2.7002
39,4.70215,2.68555
40,4.70215,2.7050799999999997
41,4.70215,2.7099599999999997
42,4.70215,2.66113
43,4.70215,2.6171900000000003
44,4.70215,2.66113
45,4.70215,2.71484
46,4.69727,2.73926
47,4.70215,2.71484
48,4.70215,2.69043
49,4.70215,2.73926
50,4.70215,2.7246099999999998
51,4.70215,2.65137
52,4.70215,2.62207
53,4.70215,2.7050799999999997
54,4.70215,2.73926
55,4.70215,2.7490200000000002
56,4.70215,2.7197299999999998
57,4.70215,2.7246099999999998
58,4.70215,2.77832
59,4.70215,2.7099599999999997
60,4.70215,2.6416
61,4.70215,2.6709
62,4.70215,2.73438
63,4.70215,2.7636700000000003
64,4.70215,2.73926
65,4.70215,2.7246099999999998
66,4.70215,2.7636700000000003
67,4.70215,2.7587900000000003
68,4.70215,2.68066
69,4.70215,2.63672
70,4.70215,2.71484
71,4.70215,2.72949
72,4.70215,2.7441400000000002
73,4.70215,2.7099599999999997
74,4.7070300000000005,2.7099599999999997
75,4.70215,2.7636700000000003
76,4.70215,2.6953099999999997
77,4.70215,2.62207
78,4.70215,2.6171900000000003
79,4.70215,2.68555
80,4.70215,2.7246099999999998
81,4.70215,2.7099599999999997
82,4.70215,2.6953099999999997
83,4.70215,2.72949
84,4.70215,2.7441400000000002
85,4.70215,2.6709
86,4.70215,2.62207
87,4.70215,2.7002
88,4.70215,2.73438
89,4.70215,2.7441400000000002
90,4.70215,2.71484
91,4.7070300000000005,2.7197299999999998
92,4.70215,2.78809
93,4.70215,2.72949
94,4.70215,2.65625
95,4.70215,2.6709
96,4.70215,2.7490200000000002
97,4.70215,2.7832
98,4.69727,2.7734400000000003
99,4.70215,2.7490200000000002
100,4.70215,2.7587900000000003
101,4.70215,2.76855
102,4.70215,2.68066
103,4.70215,2.63672
104,4.70215,2.6953099999999997
105,4.70215,2.7246099999999998
106,4.70215,2.73926
107,4.70215,2.6953099999999997
108,4.70215,2.69043
109,4.70215,2.7587900000000003
110,4.70215,2.7050799999999997
111,4.7070300000000005,2.6416
112,4.70215,2.63184
113,4.69727,2.7099599999999997
114,4.70215,2.72949
115,4.70215,2.71484
116,4.70215,2.69043
117,4.7070300000000005,2.7002
118,4.70215,2.7441400000000002
119,4.70215,2.65625
120,4.7070300000000005,2.6074200000000003
121,4.70215,2.66113
122,4.70215,2.71484
123,4.70215,2.7441400000000002
124,4.70215,2.7002
125,4.70215,2.71484
126,4.7070300000000005,2.76855
127,4.7070300000000005,2.72949
128,4.70215,2.65137
129,4.70215,2.66113
130,4.70215,2.7197299999999998
131,4.69727,2.7587900000000003
132,4.69727,2.71484
133,4.70215,2.6953099999999997
134,4.70215,2.71484
135,4.70215,2.7490200000000002
136,4.7070300000000005,2.69043
137,4.70215,2.63672
138,4.70215,2.7050799999999997
139,4.70215,2.7441400000000002
140,4.70215,2.7636700000000003
141,4.70215,2.7099599999999997
142,4.70215,2.7099599999999997
143,4.7070300000000005,2.7636700000000003
144,4.70215,2.7050799999999997
145,4.70215,2.6123
146,4.70215,2.62695
147,4.70215,2.7099599999999997
148,4.70215,2.72949
149,4.70215,2.7246099999999998
150,4.70215,2.7050799999999997
151,4.70215,2.7441400000000002
152,4.70215,2.7832
153,4.70215,2.65137
154,4.7070300000000005,2.58301
155,4.70215,2.62695
156,4.70215,2.71484
157,4.70215,2.7734400000000003
158,4.70215,2.78809
159,4.70215,2.79785
160,4.7070300000000005,2.85645
161,4.70215,2.80273
162,4.70215,2.6953099999999997
163,4.70215,2.65137
164,4.69727,2.73926
165,4.70215,2.7734400000000003
166,4.70215,2.80273
167,4.70215,2.73926
168,4.70215,2.7587900000000003
169,4.70215,2.79785
170,4.70215,2.7050799999999997
171,4.7070300000000005,2.6416
172,4.70215,2.63672
173,4.70215,2.7002
174,4.70215,2.7587900000000003
175,4.70215,2.73438
176,4.70215,2.7099599999999997
177,4.70215,2.7636700000000003
178,4.70215,2.75391
179,4.70215,2.66602
180,4.70215,2.65137
181,4.70215,2.7197299999999998
182,4.70215,2.73438
183,4.70215,2.7197299999999998
184,4.69727,2.68066
185,4.70215,2.7246099999999998
186,4.69727,2.79297
187,4.70215,2.7050799999999997
188,4.70215,2.6171900000000003
189,4.70215,2.62207
190,4.70215,2.69043
191,4.70215,2.7099599999999997
192,4.70215,2.7002
193,4.70215,2.71484
194,4.70215,2.76855
195,4.70215,2.75391
196,4.70215,2.66113
197,4.70215,2.63672
198,4.70215,2.7050799999999997
199,4.70215,2.7246099999999998
200,4.70215,2.7490200000000002
201,4.70215,2.72949
202,4.70215,2.7441400000000002
203,4.70215,2.79297
204,4.7070300000000005,2.73926
205,4.7070300000000005,2.67578
206,4.70215,2.68555
207,4.70215,2.7490200000000002
208,4.70215,2.7734400000000003
209,4.69727,2.7636700000000003
210,4.70215,2.7587900000000003
211,4.7070300000000005,2.77832
212,4.70215,2.80273
213,4.70215,2.7246099999999998
214,4.7070300000000005,2.68555
215,4.70215,2.7441400000000002
216,4.69727,2.79785
217,4.70215,2.81738
218,4.70215,2.77832
219,4.70215,2.7636700000000003
220,4.70215,2.81738
221,4.70215,2.7734400000000003
222,4.70215,2.7246099999999998
223,4.7070300000000005,2.72949
224,4.70215,2.79297
225,4.70215,2.81738
226,4.70215,2.80273
227,4.70215,2.7832
228,4.7070300000000005,2.79297
229,4.70215,2.82227
230,4.70215,2.73926
231,4.7070300000000005,2.6953099999999997
232,4.70215,2.75391
233,4.69727,2.78809
234,4.70215,2.8125
235,4.70215,2.78809
236,4.70215,2.7636700000000003
237,4.70215,2.81738
238,4.70215,2.7832
239,4.70215,2.71484
240,4.70215,2.7197299999999998
241,4.69727,2.77832
242,4.70215,2.80273
243,4.70215,2.79785
244,4.70215,2.78809
245,4.7070300000000005,2.79785
246,4.70215,2.8418
247,4.70215,2.7636700000000003
248,4.70215,2.73438
249,4.70215,2.7832
250,4.70215,2.83691
251,4.70215,2.8515599999999997
252,4.70215,2.82227
253,4.70215,2.79785
254,4.70215,2.8418
255,4.7070300000000005,2.81738
256,4.70215,2.75391
257,4.7070300000000005,2.7441400000000002
258,4.69727,2.8125
259,4.70215,2.82715
260,4.70215,2.81738
261,4.70215,2.78809
262,4.7070300000000005,2.76855
263,4.70215,2.82227
264,4.7070300000000005,2.7490200000000002
265,4.70215,2.7050799999999997
266,4.70215,2.73438
267,4.70215,2.77832
268,4.70215,2.80762
269,4.70215,2.7734400000000003
270,4.70215,2.7490200000000002
271,4.70215,2.7832
272,4.70215,2.80273
273,4.69727,2.7636700000000003
274,4.70215,2.7587900000000003
275,4.70215,2.83691
276,4.70215,2.85645
277,4.70215,2.8515599999999997
278,4.70215,2.81738
279,4.7070300000000005,2.8125
280,4.70215,2.8759799999999998
281,4.70215,2.79297
282,4.70215,2.75391
283,4.70215,2.79297
284,4.70215,2.84668
