,pipi
0,
1,277
2,281
3,283
4,286
5,285
6,285
7,282
8,282
9,282
10,283
11,279
12,276
13,271
14,269
15,260
16,256
17,256
18,254
19,257
20,253
21,250
22,251
23,248
24,244
25,246
26,243
27,237
28,236
29,238
30,232
31,234
32,229
33,226
34,227
35,223
36,221
37,220
38,216
39,215
40,216
41,218
42,216
43,219
44,212
45,212
46,221
47,217
48,219
49,223
50,215
51,217
52,219
53,221
54,221
55,223
56,214
57,217
58,225
59,221
60,224
61,229
62,220
63,228
64,225
65,225
66,227
67,229
68,226
69,230
70,230
71,226
72,228
73,232
74,235
75,242
76,242
77,243
78,247
79,249
80,247
81,248
82,251
83,248
84,248
85,245
86,244
87,249
88,245
89,242
90,243
91,245
92,243
93,239
94,239
95,234
96,237
97,233
98,232
99,231
100,225
101,224
102,224
103,221
104,221
105,215
106,215
107,210
108,206
109,198
110,193
111,193
112,187
113,188
114,190
115,188
116,189
117,185
118,183
119,184
120,186
121,180
122,181
123,183
124,182
125,185
126,186
127,181
128,183
129,181
130,184
131,184
132,189
133,187
134,188
135,190
136,191
137,192
138,195
139,195
140,203
141,200
142,204
143,209
144,215
145,216
146,220
147,223
148,222
149,227
150,228
151,229
152,233
153,231
154,233
155,236
156,236
157,236
158,234
159,236
160,235
161,239
162,235
163,232
164,237
165,235
166,239
167,239
168,235
169,233
170,231
171,238
172,237
173,238
174,229
175,224
176,223
177,213
178,213
179,214
180,213
181,213
182,211
183,211
184,208
185,212
186,207
187,207
188,206
189,201
190,200
191,203
192,201
193,207
194,207
195,207
196,211
197,220
198,221
199,222
200,228
201,228
202,231
203,233
204,230
205,236
206,230
207,228
208,228
209,226
210,226
211,227
212,230
213,230
214,238
215,233
216,230
217,238
218,234
219,233
220,234
221,229
222,230
223,228
224,228
225,226
226,230
227,231
228,230
229,235
230,230
231,232
232,232
233,231
234,232
235,232
236,234
237,234
238,237
239,230
240,230
241,236
242,235
243,239
244,242
245,238
246,242
247,246
248,248
249,247
250,250
251,245
252,248
253,254
254,250
255,251
256,255
257,251
258,255
259,253
260,253
261,250
262,254
263,248
264,252
265,250
266,246
267,246
268,246
269,241
270,251
271,250
272,246
273,248
274,251
275,244
276,247
277,256
278,251
279,254
280,255
281,249
282,260
283,257
284,258
285,257
286,259
287,261
288,260
289,264
290,257
291,258
292,259
293,256
294,263
295,260
296,270
297,274
298,270
299,271
300,265
301,264
302,260
303,264
304,260
305,260
306,269
307,267
308,266
309,268
310,264
311,265
312,267
313,264
314,266
315,272
316,266
317,263
318,269
319,265
320,267
321,271
322,267
323,273
324,272
325,270
326,270
327,277
328,268
329,269
330,275
331,274
332,276
333,280
334,272
335,278
336,277
337,278
338,278
339,284
340,273
341,276
342,277
343,275
344,273
345,274
346,269
347,276
348,277
349,276
350,274
351,274
352,269
353,266
354,264
355,261
356,259
357,259
358,258
359,264
360,263
361,263
362,263
363,261
364,261
365,264
366,264
367,259
368,262
369,260
370,262
371,269
372,270
373,258
374,261
375,261
376,263
377,263
378,268
379,267
380,272
381,268
382,264
383,274
384,271
385,270
386,272
387,267
388,264
389,262
390,265
391,268
392,274
393,267
394,269
395,277
396,271
397,270
398,272
399,267
400,270
401,273
402,272
403,272
404,279
405,271
406,274
407,276
408,273
409,272
410,276
411,274
412,281
413,280
414,279
415,276
416,278
417,274
418,274
419,281
420,277
421,287
422,287
423,281
424,285
425,274
426,269
427,270
428,274
429,272
430,271
431,275
432,271
433,273
434,271
435,267
436,274
437,271
438,269
439,269
440,269
441,272
442,268
443,269
444,265
445,268
446,263
447,259
448,267
449,260
450,264
451,266
452,262
453,260
454,261
455,265
456,268
457,275
458,271
459,275
460,286
461,285
462,288
463,292
464,289
465,298
466,301
467,305
468,307
469,316
470,314
471,321
472,333
473,330
474,334
475,339
476,334
477,351
478,351
479,357
480,365
481,376
482,379
483,387
484,400
485,401
486,408
487,415
488,414
489,432
490,432
491,434
492,439
493,439
494,436
495,425
496,424
497,412
498,411
