,pipi
812,320
813,312
814,311
815,309
816,312
817,311
818,311
819,298
820,293
821,298
822,295
823,295
824,301
825,294
826,297
827,300
828,300
829,297
830,300
831,289
832,288
833,295
834,294
835,294
836,300
837,292
838,300
839,296
840,298
841,301
842,304
843,296
844,297
845,305
846,303
847,303
848,304
849,297
850,306
851,303
852,305
853,307
854,310
855,306
856,304
857,307
858,304
859,305
860,304
861,298
862,305
863,303
864,302
865,307
866,306
867,301
868,301
869,304
870,305
871,307
872,303
873,294
874,299
875,296
876,297
877,300
878,297
879,295
880,292
881,294
882,291
883,298
884,293
885,293
886,299
887,300
888,299
889,306
890,300
891,306
892,304
893,304
894,303
895,311
896,301
897,296
898,305
899,304
900,302
901,306
902,298
903,303
904,302
905,305
906,303
907,308
908,295
909,298
910,302
911,303
912,303
913,305
914,294
915,301
916,297
917,297
918,300
919,301
920,289
921,298
922,299
923,297
924,299
925,305
926,298
927,307
928,301
929,300
930,298
931,297
932,290
933,290
934,290
935,288
936,291
937,289
938,284
939,290
940,286
941,286
942,288
943,288
944,285
945,284
946,286
947,286
948,290
949,289
950,286
951,292
952,293
953,293
954,301
955,300
956,301
957,302
958,300
959,300
960,304
961,297
962,295
963,300
964,300
965,300
966,305
967,295
968,297
969,298
970,303
971,300
972,307
973,297
974,299
975,306
976,308
977,312
978,319
979,311
980,314
981,314
982,313
983,312
984,314
985,306
986,307
987,313
988,308
989,307
990,308
991,298
992,307
993,305
994,304
995,303
996,305
997,300
998,301
999,305
1000,307
1001,307
1002,306
1003,295
1004,305
1005,304
1006,302
1007,303
1008,303
1009,297
1010,298
1011,300
1012,297
1013,297
1014,294
1015,289
1016,294
1017,294
1018,296
1019,300
1020,299
1021,294
1022,295
1023,297
1024,297
1025,301
1026,293
1027,290
1028,296
1029,292
1030,293
1031,296
1032,291
1033,293
1034,292
1035,295
1036,295
1037,301
