,pipi
799,335
800,353
801,338
802,325
803,323
804,356
805,365
806,369
807,368
808,349
809,336
810,359
811,388
812,393
813,413
814,400
815,411
816,402
817,391
818,372
819,380
820,351
821,334
822,339
823,337
824,328
825,326
826,332
827,328
828,332
829,337
830,334
831,319
832,306
833,321
834,337
835,337
836,313
837,326
838,326
839,334
840,333
841,323
842,312
843,319
844,361
845,355
846,359
847,353
848,372
849,370
850,364
851,364
852,375
853,361
854,345
855,366
856,361
857,347
858,345
859,334
860,331
861,373
862,369
863,369
864,386
865,390
866,390
867,377
868,366
869,356
870,342
871,334
872,326
873,338
874,342
875,351
876,353
877,344
878,330
879,312
880,331
881,330
882,336
883,334
884,333
885,332
886,326
887,321
888,318
889,304
890,307
891,300
892,346
893,351
894,361
895,353
896,346
897,347
898,337
899,332
900,335
901,328
902,339
903,340
904,331
905,330
906,324
907,310
908,314
909,319
910,307
911,303
912,305
913,300
914,322
915,343
916,352
917,349
918,330
919,309
920,316
921,323
922,316
923,317
924,318
925,307
926,300
927,307
928,335
929,356
930,362
931,342
932,339
933,337
934,333
935,325
936,322
937,320
938,310
939,294
940,301
941,299
942,310
943,310
944,302
945,291
946,277
947,281
948,303
949,298
950,317
951,321
952,355
953,343
954,351
955,341
956,342
957,350
958,343
959,332
960,320
961,321
962,316
963,319
964,315
965,315
966,321
967,315
968,340
969,335
970,321
971,337
972,390
973,391
974,374
975,404
976,391
977,378
978,377
979,370
980,374
981,362
982,379
983,367
984,370
985,357
986,350
987,334
988,331
989,327
990,343
991,346
992,347
993,408
994,411
995,408
996,393
997,372
998,355
999,371
1000,357
1001,343
1002,331
1003,328
1004,326
1005,323
1006,323
1007,339
1008,363
1009,361
1010,360
1011,358
1012,363
1013,366
1014,360
1015,349
1016,351
1017,346
1018,337
1019,328
1020,324
1021,326
1022,324
1023,317
1024,312
1025,311
1026,300
1027,292
1028,323
1029,328
1030,324
1031,333
1032,321
1033,319
