,pipi
799,255
800,253
801,252
802,256
803,250
804,254
805,252
806,249
807,248
808,252
809,244
810,244
811,250
812,247
813,247
814,247
815,242
816,247
817,248
818,248
819,248
820,251
821,247
822,249
823,253
824,252
825,252
826,249
827,243
828,248
829,248
830,249
831,250
832,251
833,248
834,251
835,253
836,253
837,256
838,253
839,250
840,256
841,254
842,252
843,253
844,252
845,250
846,252
847,253
848,252
849,256
850,253
851,253
852,256
853,255
854,253
855,255
856,251
857,252
858,251
859,253
860,253
861,260
862,251
863,252
864,258
865,255
866,251
867,252
868,249
869,250
870,250
871,252
872,251
873,253
874,249
875,248
876,255
877,253
878,254
879,274
880,264
881,266
882,263
883,263
884,259
885,261
886,250
887,250
888,251
889,247
890,245
891,247
892,238
893,246
894,246
895,247
896,249
897,251
898,246
899,250
900,251
901,250
902,249
903,248
904,242
905,248
906,246
907,246
908,245
909,248
910,244
911,247
912,250
913,249
914,252
915,251
916,247
917,251
918,250
919,250
920,252
921,253
922,250
923,250
924,252
925,249
926,252
927,249
928,243
929,250
930,247
931,246
932,246
933,247
934,245
935,247
936,249
937,247
938,247
939,244
940,241
941,248
942,250
943,249
944,252
945,250
946,249
947,251
948,253
949,254
950,258
951,250
952,250
953,253
954,253
955,253
956,256
957,251
958,254
959,251
960,251
961,249
962,255
963,249
964,250
965,253
966,252
967,252
968,255
969,248
970,250
971,250
972,251
973,252
974,257
975,250
976,252
977,257
978,254
979,252
980,251
981,245
982,251
983,253
984,256
985,255
986,257
987,248
988,252
989,256
990,253
991,252
992,253
993,249
994,253
995,252
996,251
997,252
998,254
999,249
1000,249
1001,255
1002,253
1003,255
1004,269
1005,263
1006,268
1007,265
1008,262
1009,259
1010,258
1011,253
1012,253
1013,252
1014,249
1015,249
1016,248
1017,246
1018,250
1019,249
1020,248
1021,249
1022,247
1023,245
1024,246
1025,247
1026,247
1027,249
1028,244
1029,241
1030,244
1031,245
1032,246
1033,250
1034,249
1035,248
1036,248
1037,251
1038,252
1039,255
1040,247
1041,245
