,STDEV,AVG,MDN,EMOSI
0,0.195931047,0.735270328,0.803308487,3
1,0.311213205,0.547371384,0.622102353,3
2,0.237277732,0.500050367,0.461269021,3
3,0.305935336,0.599454681,0.747614915,3
4,0.357495165,0.473311314,0.421361875,3
5,0.322161534,0.471547148,0.450661667,3
6,0.198854,0.657994175,0.667766229,3
7,0.179580827,0.307676639,0.299169364,3
8,0.195931047,0.735270328,0.803308487,3
