,Pipi,Alis
0,4.70215,2.67578
1,4.70215,2.71484
2,4.70215,2.72949
3,4.70215,2.6953099999999997
4,4.70215,2.68555
5,4.70215,2.75391
6,4.70215,2.6953099999999997
7,4.70215,2.63184
8,4.70215,2.62695
9,4.70215,2.69043
10,4.70215,2.7246099999999998
11,4.70215,2.72949
12,4.70215,2.7050799999999997
13,4.70215,2.7197299999999998
14,4.70215,2.7490200000000002
15,4.70215,2.66602
16,4.70215,2.63184
17,4.70215,2.6953099999999997
18,4.70215,2.72949
19,4.70215,2.7636700000000003
20,4.69727,2.7246099999999998
21,4.70215,2.7050799999999997
22,4.70215,2.7636700000000003
23,4.70215,2.7246099999999998
24,4.70215,2.66113
25,4.70215,2.6416
26,4.69727,2.7002
27,4.70215,2.7246099999999998
28,4.70215,2.73438
29,4.70215,2.7099599999999997
30,4.70215,2.71484
31,4.7070300000000005,2.7441400000000002
32,4.70215,2.65137
33,4.70215,2.6123
34,4.70215,2.6709
35,4.70215,2.7099599999999997
36,4.70215,2.72949
37,4.70215,2.6953099999999997
38,4.70215,2.68555
39,4.70215,2.73438
40,4.70215,2.7050799999999997
41,4.70215,2.6416
42,4.70215,2.6074200000000003
43,4.69727,2.66602
44,4.70215,2.6953099999999997
45,4.70215,2.71484
46,4.70215,2.6953099999999997
47,4.70215,2.6953099999999997
48,4.70215,2.73926
49,4.70215,2.65137
50,4.70215,2.59766
51,4.70215,2.6416
52,4.69727,2.69043
53,4.70215,2.7197299999999998
54,4.70215,2.6953099999999997
55,4.70215,2.68555
56,4.70215,2.73438
57,4.70215,2.71484
58,4.70215,2.62695
59,4.70215,2.6025400000000003
60,4.69727,2.6709
61,4.70215,2.7050799999999997
62,4.70215,2.73438
63,4.70215,2.7099599999999997
64,4.70215,2.7099599999999997
65,4.69727,2.7490200000000002
66,4.70215,2.65625
67,4.70215,2.6171900000000003
68,4.70215,2.65137
69,4.70215,2.6953099999999997
70,4.69727,2.7246099999999998
71,4.70215,2.7002
72,4.70215,2.6953099999999997
73,4.70215,2.72949
74,4.70215,2.7197299999999998
75,4.70215,2.7002
76,4.70215,2.80273
